collected_at,source,rank,title,url,body_text,body_length
2026-08-13 23:08:14,Sherwood Snacks,1,🥗 Green in the red,https://sherwood.news/snacks/newsletters/green-in-the-red/,"The 270th birthday of Wolfgang Amadeus Mozart was commemorated by the Mozarteum Foundation with 320 golden statuettes, each 50 centimeters tall, depicting the composer with his dog. Within two weeks, 80 of them were stolen, and as of now, 210 have been stolen . The artist believes that it’s the work of organized thieves, though it’s easy to see why some might think visitors are just pinching the figures as souvenirs. Hear me out: Salzburg needs to be on the look out for a 50-centimeter tall Antonio Salieri. Stocks finished up on the day after inflation data came in merely lukewarm. Fast casual salad chain Sweetgreen saw its stock drop 29% over the past month despite not having direct ties to the contaminated greens. In July, the company cut its full year outlook over the widespread consumer anxiety over fresh produce. Taco Bell’s parent company Yum! Brands have fallen 8% and foot traffic fell 20% even before the CDC’s official announcement linking Taco Bell’s contaminated lettuce to parasite outbreak. Meanwhile, salmonella-tainted jalapeños have begun making headlines. This week, the CDC flagged the outbreak coming from Mexican-grown jalapeños which has spread across 27 states. Chains like Chipotle and Qdoba pulled the peppers from their menus but are still taking losses — Chipotle’s shares fell nearly 10% on August 4 after Bloomberg News reported the chain removed the jalapeños. Food-borne outbreaks hurt sales, eroding consumer trust in brands. In earnings calls over the past several weeks, even chains that weren’t initially directly affected by cyclospora had to answer questions from analysts. “We're not impacted, or we are impacted from a sales perspective , but we're not involved in the Cyclospora conversation today,” said Chipotle CEO Scott Boatwright in July. “Exiting Q2, we saw near-term sales impacts related to broad concerns around lettuce and fresh produce consumption due to the Cyclospora outbreak,” said Brett Schulman, co-founder and CEO of Cava , who added the company is not directly affected by the recent Salmonella outbreak. “We have since seen same-restaurant sales begin to rebound, a testament to the underlying strength of our long-term brand proposition.” Despite concerns over produce, Cava was the breakaway winner of the fast casual chains this earnings season, bucking the trend. The chain saw guest traffic increase by 5.3% over Q2 and adjusted EBITDA climbed 30% to $54.7 million. “We know consumer trust in the food system does not come easy right now, and it should not be taken for granted by anyone in this industry.” 📊 Election: Today is the election day in Clacton in the United Kingdom, where all major parties have bowed out except Count Binface — a man with a garbage can on his head who contests elections as a serial comedic candidate — takes on the person who resigned the seat, Nigel Farage. Markets think there’s a 38% chance * Binface pulls in at least a quarter of the vote. 🎬Movie: “ Coyote vs. Acme,” the movie that was thrown into a vault by Warner Bros. Discovery to get a tax credit and eventually sold off to distributor Ketchup Entertainment, is getting some outstanding buzz; prediction markets are pricing in a 75% chance it has a Rotten Tomatoes score above 90. *Event contracts are offered through Robinhood Derivatives, LLC — probabilities referenced or sourced from KalshiEx LLC or ForecastEx LLC. Bob Iger and Josh Kushner have bought the Los Angeles Lakers for $12.5 billion . Listen, if you want to take a beloved Los Angeles institution that’s a decade out of its “Renaissance” and give it to a guy who can guarantee it underperforms the overall market by 40% over the course of two decades , Bob Iger is certainly your man. Enjoy the ride of a lifetime, Lakers fans. SpaceX short sellers are running out of bullets as stock rebounds more than 40% off low Italy’s $4.7 billion cheese economy is feeling the heat as climate change threatens its cheese banks that hold Parmigiano wheels as loan collateral The $289 billion+ vintage fashion resale market is upending the carefully cultivated world of luxury . Strait of Hormuz ship traffic near three-month low as U.S.-Iran deal in doubt. Spotify is reportedly experimenting with a Skip Ahead button for podcasts because they’re worried that free Spotify users (the majority of users) is hearing both Spotify’s ads and the podcast’s ads in podcasts. Paleopathologists believe they have found the first confirmed death from a trebuchet, a skeleton found at Stirling Castle in Scotland. Earnings from Applied Materials , Madison Square Garden Sports Corp. , Figure Technology Solutions , Intuitive Machines , Tapestry , Ondas , and Gemini Space Station .",4694
2026-08-13 23:08:14,Sherwood Snacks,2,🎞️ Reel Questions,https://sherwood.news/snacks/newsletters/reel-questions/,"Sometimes you just don’t know how they do it: ever meet someone who seems to get in miles of running before the crack of dawn and cram in more before the opening bell than seems possible? Some people are just built differently. A physicist wanted to get at the heart of how a housemate was getting so much exercise before the sun comes up, so he found a clever way to get their exercise data uploaded to exercise tracking app Strava: by rigging a bike computer to her hamster wheel. Oh, right, the housemate is a 10-month-old hamster named Mollie. She’s easily averaging ten kilometers a night. Markets finished slightly lower yesterday as Big Tech dipped, with the S&P 500 and Nasdaq 100 each down 0.3%. It’s been a barnburner of a summer at the box office, with the 2026 exhibition returns now tracking 18% above last year’s and doing business not seen since pre-pandemic times . Surely this moment has offered a clarity of purpose for the long-troubled film business and the major corporations that are behind the entertainment industrial complex, right? No, of course not. The July box office sends a decisive message, sure, but it belies inconsistencies across the entire business that have been articulated fairly directly over the past several weeks of quarterly earnings reports from the major players. What is a movie good for? Depends who you ask: “ You mean the 95-minute ads for the parks?” , says Disney . The Mouse has had a rocky time at the cinema — “Toy Story 5” was a hit, “The Mandalorian and Grogu” and “Moana” each expensive misses — but come on, profit was up 20% at parks and cruises . This is a theme park and toy licensing business that incidentally produces films to sell theme park tickets and toys. “Good for?” asks Paramount under David Ellison. “The studio’s an albatross!” it may say, as the would-be acquisition of Warner Bros.’ has invited an inter-state anti-trust team-up trying to prevent the merger of the companies. Not helping matters is that Ellison’s on the hook for $650 million in fees every quarter the deal isn’t done, and a trial that isn’t until next year . It’s enough to make you want to leave Hollywood, which incidentally, Paramount may! “Movies are good for AI, ” says Lionsgate , nervously looking at its activist investors who insist that the company either has to start using its library to make more money from AI labs or sell to someone who will. “ We prefer television, it takes more minutes to watch it,” frets Netflix , down 18% year to date, which is in a post-”Stranger Things” slump that no number of high-performing geezer teasers will shoot its way out of. “Wait, we own a movie studio? Since when? Don’t we sell phones?” says Apple , which brought up its film business only once in its earnings call, a single mention of the “F1” movie. “ Oh, this one’s easy ,” says Sony , where “Spider-Man: Brand New Day” made more money than its entire ( non-Crunchyroll ) 2025 and 2026 theatrical slate combined. “A movie studio exists to maintain the rights to Spider-Man by hiring Disney to make Spider-Man movies, that way we can prevent the Spider-Man rights from reverting to Disney.” So if none of the companies that actually make movies seem to have their heart in the movie business, who does? Just take a look at this chart from Goldman. At first glance at this chart that spikes dramatically, you may assume the y-axis refers to the Ithacan body count on the return home from Troy, but in fact it is the domestic box office at Imax cinemas attributable to “The Odyssey” : Sound the sirens, thanks to the steady hand of Odysseus, while the whole rest of the industry feels like it’s between a rock and a Charybdis, it’s smooth sailing ahead for Imax into the rosy fingers of dawn. Jollibee Group, the company behind the eponymous Filipino fast-food chain famed for its sweet spaghetti and spicy fried chicken, yesterday announced that it would be revising down its store opening targets, capex outlook, and income growth outlook for 2026, as a “ dynamic cost environment ” continues to weigh on the company. With other international names like Smashburger and Tim Ho Wan in its expansive brand stable , as well as franchise rights in the Philippines for Burger King and Panda Express, the group expects to add a further 1,000 to 1,100 outlets in 2026. That’s only down slightly from its previous annual forecast (1,200-1,300) and builds on an impressive couple of decades for the fast-food giant. Including its title and subtitle (“The Future is for Everyone: The Path to a Positive AI Future”), that’s exactly how many words long aspiring writer Mark Zuckerberg’s new essay is. If you can’t spare the ~50 minutes that Words To Time estimates it’d take to read the whole thing, there’s a relatively even-handed analysis of the Meta boss’ manifesto here . On Monday, Riot Platforms announced that it had signed a 20-year deal worth $9.1 billion to supply compute to a “ leading frontier AI lab . ” Hours later, Bloomberg reported that the mystery company in question was Anthropic, sending RIOT up ~20%. Bumble yesterday rolled out a new feature allowing men to send the first message, signaling quite the turnaround for an app that once marketed itself as a place where “women make the first move.” OpenAI has reportedly bought back $7 billion worth of shares from its employees, providing liquidity for workers and valuing the company at $852 billion. Exciting times in the Persian Gulf are turning all sorts of unlikely parties into oil traders, as NASCAR’s COO is reportedly keeping a close eye on the price of gas . Not for the races, though: it takes 250 semi-trucks to move the race promotion around the country. Attention mall goths and emo kids: Spencer’s is buying Hot Topic, which would bring together two iconic alt-rock and pop-punk brands under the same corporate umbrella. Earnings from Cisco , Cerebras Systems , Nebius , and Fervo Energy .",5918
2026-08-13 23:08:14,Sherwood Snacks,3,🖥️ The Myspace revival,https://sherwood.news/snacks/newsletters/the-myspace-revival/,"A 26-year-old Welshman with a particularly morbid sense of humor pleaded guilty to causing a nuisance or disturbance on National Health Service property last week , after he was arrested for standing on top of a hospital dressed as the Grim Reaper, scythe and all, in Ysbyty Glan Clwyd in St Asaph, Wales. The man was ordered to pay a £200 ($270) fine and offered no explanation for his rooftop antics, which reportedly lasted for almost an hour. Markets were flat Monday amid low clarity on the future of the conflict in Iran and little news overall. Low-rise jeans. Digital cameras. Madonna releasing genuine bangers again. It appears that the universal nostalgia for everything 2000s-coded is not slowing down as we move further into the second half of 2026, and the owners of one of the most iconic online platforms of that era are now reportedly looking to cash in. Speaking in a recent documentary called “Myspace,” the cofounders of Viant Technology — the company that bought Myspace alongside Justin Timberlake in 2011 , when it was trading as Specific Media — confirmed : “We are stewards of the Myspace brand at this point, and we are going to relaunch Myspace. We’re just waiting for the right time to do it.” They later added, somewhat pessimistically, “And if that one doesn’t work, we’ll do it again.” Clearly the travails of trying to recapture the initial buzz of a social media platform, especially one that came to dominate the online culture early on, aren’t lost on the current Myspace owners. Given the relatively limited hype cycle of social media platforms, the Viant chiefs are probably right to be hesitant about bringing Myspace back kicking and screaming into 2026, when the market is almost as crowded as ever. The fact that, by their own admission , they burned about $150 million on trying to redesign the site with more of a music focus in 2013 is probably also in their minds when mulling the decision to bide their time a little. Although millennial Myspace enthusiasts have greeted the potential relaunch news with glee, it’s difficult to imagine a platform that peaked around 20 years ago making a splash in any truly meaningful way, even if it would offer a more authentic Y2K-tinged alternative to some of the sanitized platforms that have come to loom large in the social media landscape of 2026. That is to say, maybe don’t dust off your Top 8s and Myspace Tom fan accounts just yet… That’s how much Christopher Nolan’s “The Odyssey” has now made from Imax screenings alone. The epic took an impressive $52 million in IMAX theaters across the world in its fourth weekend, now officially making it the highest grossing movie on the premium format in history , overtaking the $256 million lifetime IMAX gross of James Cameron’s “Avatar.” Amazon is planning a new 35-turbine natural gas power plant in Texas to deliver 7.65 gigawatts of electricity to a data center, potentially making the site the US’s biggest polluter. And now a completely bypassable word from our sponsors… Spotify is reportedly trialing a “Skip ahead” button for impatient podcast listeners to avoid ads . Meta will open-source its most powerful AI models, Mark Zuckerberg announced yesterday, and introduce Muse Glimmer , a raft of new versions designed to run on laptops. JPMorgan bumped its S&P 500 price target as it sees AI capex finally delivering for companies Italian divers found a shipwreck thought to date back more than 2,000 years, laden with roughly 500 ceramic jars — or amphorae for the ancient Rome heads out there — in one of “the most important underwater archaeological discoveries of recent years,” per Italy’s culture minister . Earnings from Lumentum , CoreWeave , Super Micro Computer , Tencent Music Entertainment , CAVA Group , Quantinuum .",3774
