collected_at,source,rank,title,url,body_text,body_length
2026-07-03 01:42:30,Sherwood Snacks,1,🔟 The Terrific 10 is the new Mag 7,https://sherwood.news/snacks/newsletters/the-terrific-10-is-the-new-mag-7/,"As we reported last year, users saying “please” and “thank you” to AI tools is wasting millions in computing power . In an attempt to curb AI’s soaring costs, 404 Media has reported that developers at Nvidia , OpenAI , and GitHub are using a caveman plugin to make their AI tools speak like cavemen, which can cut Claude Code token consumption by ~75%. Users can pick their level of “grunt”: lite, full (which is the default setting), ultra, or Wenyan, which translates the output into classical Chinese characters for extreme compression. (Maybe this is the magic, unidentified method that OpenAI engineers claim has cut inference costs in half?) The S&P 500, Nasdaq 100, and Russell 2000 all gained yesterday, led by tech stocks. Stocks posted their best quarter in six years , and semiconductors had their best quarter ever. 🇺🇸 We’re taking an Independence Day hiatus on Thursday and Friday, but we’ll be back in your inbox on Monday. For years, the markets have been obsessing over the Magnificent Seven, that loose grouping of seven stocks — Apple , Microsoft , Amazon , Alphabet , Tesla , Nvidia , and Meta — that have served as the lodestars of the AI revolution. But take a look at the top-performing stocks in the S&P 500 year to date, and you might notice that it’s not those stocks topping the list, but rather the companies that sell to them . Per estimates from Bloomberg’s Supply Chain function: Sandisk has Nvidia among its top five customers, Seagate has Microsoft, Dell ’s tenth-largest customer is Amazon. Micron counts both Nvidia and Microsoft among its top five customers, Corning ’s got Apple (and, though not in the Mag 7, Samsung , too). Western Digital is enmeshed with Amazon, Meta, and Microsoft; Flex counts Microsoft, Amazon, and Google among its top five customers. Marvell ’s top five customers include four of the Magnificent Seven and all of its hyperscalers: Amazon, Microsoft, Google, and Meta. Applied Materials and Intel are the outliers here among the top ten YTD; Intel’s seventh-best customer is Microsoft, though, and Applied Materials’ top five customers include SK Hynix , Samsung Electronics, Micron Technology, TSMC , and Intel, all of whom are part of this web even if they’re not among the Mag 7. A consistent drum we have been beating over here at Snacks is the phenomenon that “your massive capex are someone else’s massive sales beat” and these just so happen to be a who’s who of Someone Elses. Baseball lends itself to the weird and unprecedented, for the simple reason that there are so many teams and players playing so many games — inevitably, you witness something you’ve never seen before. ( A thousand monkeys at a thousand keyboards , and all that.) We got another on Monday night when the LA Dodgers and Sacramento A’s faced off, with both teams penciling in a guy named “Max Muncy” , who was born on August 25 , playing third base and batting in the No. 7 spot in the order. It’s not the only time we’ve seen same-name players facing each other; MLB had two Álex Gonzálezes for years, the NHL has two Sebastian Ahos , and the NBA has had so many same-name combos they needed to be distinguished via nicknames . One baseball Will Smith even hit a huge postseason HR off the other Will Smith in 2021. Noon ET: 🏴󠁧󠁢󠁥󠁮󠁧󠁿 England vs. 🇨🇩 Congo DR: It’s a perennial contender in England up against a team making its first appearance since 1974. The markets favor experience; England’s an 88% chance to win it .* 4 p.m. ET: 🇧🇪 Belgium vs. 🇸🇳 Senega l: Belgium’s got a 60% chance of beating Senegal. 8 p.m. ET: 🇺🇸 United States vs. 🇧🇦 Bosnia-Herzegovina : The hosts take on a team that has managed to pull off miracles this tournament. The USA is an 84% chance to win and make it to the Round of 16. 3 p.m. ET: 🇪🇸 Spain vs. 🇦🇹 Austria : It’s a Habsburg vs. Habsburg battle royale! Spain’s got an 87% chance of the win , having entered the tournament a heavy favorite. 7 p.m. ET: 🇵🇹 Portugal vs. 🇭🇷 Croatia : Portugal is favored here, with a 70% chance of the win . 11 p.m. ET: 🇨🇭 Switzerland vs. 🇩🇿 Algeria: This is going to be one of the closer games of the round, with the Swiss coming in as just 66% favorites. 2 p.m. ET: 🇦🇺 Australia vs. 🇪🇬 Egypt : The Socceroos and the Pharaohs will fight to advance, and Egypt’s got the edge with a 57% chance of the win . 6 p.m. ET: 🇦🇷 Argentina vs. 🇨🇻 Cape Verde : Cinderella story Cape Verde faces down the most frightening team in the entire tournament, a squad that has some of the best chances of winning it all and with the GOAT players starting: Argentina’s got a 91% chance here , per the markets. 9:30 p.m. ET: 🇨🇴 Colombia vs. 🇬🇭 Ghana: Colombia enters the Round of 32 with a ton of momentum and is an 81% favorite to beat Ghana. *Event contracts are offered through Robinhood Derivatives, LLC — probabilities referenced or sourced from KalshiEx LLC or ForecastEx LLC. Despite beating Wall Street’s expectations in yesterday’s postmarket Q4 earnings, Nike sank to its lowest level since August 2014 in postmarket trading as its CFO warned that sales “ remain challenged .” Yesterday, the FDA announced that Zyn can be marketed as less harmful than cigarettes . Visa , Bank of New York Mellon , BlackRock , Klarna , Chime , Alphabet , Coinbase , Stripe , and others are joining forces to launch a new stablecoin . The UK is leaning toward intervening in Paramount Skydance ’s acquisition of Warner Bros. Discovery , setting a July 6 deadline for companies to address concerns. In a poll Bloomberg conducted of its clients, which include traders, portfolio managers, and strategists, 45% said that it can be appropriate to wear shorts to work. Fed Chairman Kevin Warsh due to participate in a panel discussion.",5709
2026-07-03 01:42:30,Sherwood Snacks,2,🌀 NBCUniversal spinoff,https://sherwood.news/snacks/newsletters/nbcuniversal-spinoff/,"What are we really streaming? According to the “ Retro Revival ” report from entertainment industry analysts at Luminate, we’re consuming old comfort TV like “Friends” and “Suits” more than we might admit. Across the first quarter of this year, every major streaming platform, with the clear exception of Netflix , keeps viewers hooked with older classics from its catalog, rather than fresh original content. The S&P 500 and Nasdaq 100 climbed higher yesterday as chip stocks and most Big Tech companies rose amid a resurgence in the AI trade. Gains in Alphabet powered communications to the best-performing sector, while materials fared the worst. Comcast shares rose over 4% on Monday on the news that the telecom behemoth is spinning off NBCUniversal and Sky from its cable portfolio. Comcast initially jumped as high as 25% in early trading, with the deal leaving management to focus on its core verticals of cable, wireless, and business services. NBCUniversal and Sky will form a new publicly traded company, similar to Versant Media , the holding company of CNBC and MS NOW that Comcast officially spun off in January. Bravo, one of Comcast’s most lucrative properties, will remain part of NBCUniversal in the deal. The Universal theme parks and studios will also come with the new spinoff entity, along with Telemundo and Peacock. Mike Cavanagh, the co-CEO of Comcast, will become the CEO for NBCUniversal, according to CNBC. The spinoff will be completed in about a year, according to a Comcast company statement. Its shareholders will also own shares in NBCUniversal, according to the same statement. For decades, media companies pursued vertical scale, with entertainment companies finding advantages in not just being a television network or a production studio but finding a way to bundle their movie studio, their theme park business, a cable business, toy licensing operation, publisher, news network, sports portfolio, and now streamer into one big attractive package. However, the definitive advantages of these synergies and that scale aren’t free. Wall Street likes simple companies: if you’re a growth stock, they want to see that stock rise and that monopoly grow; if you’re a value stock, they want you to print earnings. But if you’re one of these media conglomerates, you’ve got some divisions that print money, some divisions that promise to own the future, and that confuses traders and complicates allocation strategies, which costs you money. Now, media conglomerates are trying to decouple that. Nasdaq-100 Index ® Options give you tactical precision and broad benchmark exposure . Index options allow for more macro expressions than single-stock securities, giving traders the potential to participate in upside or mitigate downside portfolio risk. Index products also have the benefits of liquidity and leverage. As some of the most liquid derivatives available, trillions in notional exposure are managed daily – ensuring traders can still easily establish and close positions during times of market stress. With index options, traders also gain leverage to control larger positions than they can access with single stocks. Available in two contract sizes, NDX® and XND® , traders of all portfolio sizes can choose the amount of notional exposure they want to take on. Discover how Nasdaq-100 Index Options can serve your strategy. Let’s look at whose prediction-market odds have shifted the most since the start of the tournament, conditional upon making the Round of 32. One big takeaway is that Argentina and France have dramatically outpaced their pre-World Cup expectations even after accounting for the boost from just surviving the group phase. Lionel Messi and Argentina's baseline conditional title odds jumped from 9% to 20%, while Kylian Mbappé and the absurdly stacked France squad went from 16% to 23%. Both were known to be dangerous, but they have emerged to look much more so now that we’ve seen them in action. Others looking a lot better for deep tournament runs? The Netherlands, Colombia, Mexico, and the US, each of whom is up 2 percentage points in their odds to make the Final, while England is also up 4 points in its odds to make the semifinals — though the Three Lions’ conditional odds to make the Final are down because of Argentina’s increased threat on the same side of the bracket. The long-awaited housing bill aimed at boosting the housing supply and lowering housing costs arrived at President Trump’s desk yesterday. As far as millions of people in the US are concerned, the housing legislation can’t really come soon enough, with the nation’s youngest would-be homebuyers locked out of the market by home prices that have soared far above the rate of their pay in recent years. See the gap between home prices and wages for adults under 40, charted 1 p.m. ET: 🇨🇮 Côte d'Ivoire vs. 🇳🇴 Norway: The Ivory Coast has been on a great run this tournament but will go up against a Norwegian team that has a 47% chance of winning this one before overtime . 5 p.m. ET: 🇲🇽 Mexico vs. 🇪🇨 Ecuador: Mexico is the home team and is favored to win this one, with a 46% chance they do so within 90 minutes plus stoppage time. 9 p.m. ET: 🇫🇷 France vs. 🇸🇪 Sweden: Tournament heavyweight France is the overwhelming favorite here, with a 79% chance of winning it in 90 minutes plus stoppage time. The loser? New York, as two countries with outstanding public transportation systems are about to find out that we keep our stadium in a swamp in New Jersey accessible only by a dark, dismal place called “Secaucus.” *Event contracts are offered through Robinhood Derivatives, LLC — probabilities referenced or sourced from KalshiEx LLC or ForecastEx LLC. Rocket Lab surged yesterday after announcing an $8 billion acquisition of satellite communications operator Iridium Communications, helping lift a broader basket of space-related stocks Amazon signed a renegotiated deal with Anthropic with payment tied to token use rather than compute hours, accordin",6000
2026-07-03 01:42:31,Sherwood Snacks,3,Black(Berry) market,https://sherwood.news/snacks/newsletters/black-berry-market/,"Despite an estimated $10.5 billion spent on advertising for the World Cup, the brands getting the biggest buzz of the tournament might not be the official sponsors , but the banned sponsors. Consider Levi's Stadium in San Francisco, whose logo has been covered up at the request of FIFA, as it is not an official sponsor, or Heinz ketchup bottles with taped-over logos, which Kraft Heinz turned into a limited-edition product release . Sports marketing expert Adam Britton attributes this to the Streisand effect , named after Barbra Streisand, whose efforts to wipe all photos of her home from the internet only piqued search interest: blocking out these brands' logos paradoxically makes them hypervisible. The S&P 500 and Nasdaq 100 closed lower on Friday, posting weekly losses, while the Russell 2000 eked out gains for both the day and the week. Industrials and information technology were the worst-performing sectors on Friday, while health care was the best performer. 🧠 Test yourself on our recent newsletters with the Snacks Seven Quiz . Here’s the first question: What is the cheapest US holiday destination by average plane fare? The former meme stock BlackBerry surged on blowout earnings last week — the bull case has nothing to do with phones. When you think of BlackBerry, you probably picture the clunky QWERTY keyboard and yearn for the pre-AI slop era. But for many traders, that nostalgic memory could have been getting in the way of evaluating a rising star . In its first-quarter earnings on Thursday, the cell-phone-turned-B2B-enterprise-software-company blew past estimates with revenue up 26% and a 44% EPS beat after back-to-back 30%+ beats before that. The company hiked its full-year profit forecast to 16 cents to 20 cents per share with revenue between $594 million and $621 million. “The market still misdefines BlackBerry,” analyst Suthan Sukumar of Stifel said Tuesday in a note to clients. “This is…a mission-critical software layer in the physical AI stack and a dominant partner to silicon leaders like Nvidia , Qualcomm , and AMD powering the build-out from cloud to edge, across cars, robots, factories, and medical devices.” QNX, BlackBerry’s real-time operating system, runs inside of 275 million cars worldwide. Modern autos generate terabytes of daily data, from tire pressure to monitoring driving behavior, and QNX is the foundation beneath all of it. About 20% of QNX revenue now comes from noncar segments. Uses in robotics, medical devices, drones, and industrial automation are growing. In June, Nvidia announced Halos for Robotics, and QNX is in the stack. Per QNX’s own research , 85% of robotics engineers expect software’s role in their field to increase over the next three to five years. On Friday, when Bloomberg asked if consumers could swap out iPhones for the nostalgic keyboard again, Giamatto said “I don't think you'll see us get back into the phone game anytime soon.” BlackBerry shed its consumer identity years ago. What’s left is a profitable B2B software company that’s already embedded in tech infrastructure from cars to robots to drones. As physical AI scales, the demand for trusted safety-certified software is likely to grow. Many investors rely on tech exposure that is based on traditional classification approaches . When it comes to gaining exposure to innovation, the selection criteria can matter just as much as sector or size. The Global X NYSE ® 100 ETF (NYSX) tracks an index that uses a structured, rules-based scoring framework to track 100 companies based on market cap, liquidity, valuation, and growth. Compared to traditional tech indices, NYSX’s index isn't confined to a single exchange. It includes companies across multiple U.S. exchanges, including sub-industries like digital payments and e-commerce that may often fall outside traditional tech definitions. NYSX offers an additional perspective to market-cap weighted exposure, tracking companies associated with powering the modern economy across multiple industries. Discover the NYSX framework for exposure to technology-enabled growth. The US knows who it will be playing next: Bosnia and Herzegovina. How good is Bosnia and Herzegovina? Well, they came into the tournament ranked 60th in the world football Elo ratings , earned what was considered a surprising 1-1 draw with Canada, got blown out 4-1 by Switzerland and beat Qatar 3-1 to finish third in Group B. They advanced with 4 points, despite the minus-1 goal differential, and currently sit 59th in Elo . No team is an easy win at this phase of the tournament, and the market gives the Americans a 20-25% chance of being eliminated in the Round of 32. Soccer is a low-scoring, often chaotic sport, even though the best teams tend to go deep in the World Cup more often than not. There are no guarantees here. A different methodology for investing in small caps : While the Russell 2000 is the benchmark for small cap stocks, asset managers at Bridgeway Asset Management found that some of the constituents of the index include stocks that have been demoted to the small cap category as their market cap has fallen, or recent IPOs. They discovered that excluding those two categories improved annual returns by 1.57% . For passive investors looking for a small cap index, the S&P Small Cap 600, which requires its constituents to meet profitability requirements, has a 600% higher return than the Russell 2000 over the past 30 years. Nostalgia toys are back : We’ve discussed the resurgence of '90s toys before, with respect to Tamagotchis , as the “kid-dulting” economy booms as more grown-ups yearn for playtime. The toys from millennials’ youth are hot again, as Beyblades , spinning tops inspired by traditional Japanese beigoma, are making a comeback in Asia. Additionally, footbags, more commonly known by their trademark brand name “Hacky Sacks,” have been rediscovered by Gen Alpha , largely thanks to TikTok. ⚽️ World Cup: Today sees three huge matches in the knockout round of the W",6000
