source_provider,query,title,link,published_at,summary,raw_source,provider_status
google_news_rss,337840,"UXN ""기술탈취""·SD바이오센서 ""사실무근""…BW조기상환에 '공방' - 매일경제 마켓",https://news.google.com/rss/articles/CBMiUEFVX3lxTFA2NWNWTkc0SFl2bnJqVUxsdnBTdkd1Smtzb2tOblVXc2RGUkRUZTNvektfeDh6TkoxOWozQm5ZY1NhanNwakhuZ1FFLWMxWHly?oc=5,2024-10-22T07:00:00+00:00,"<a href=""https://news.google.com/rss/articles/CBMiUEFVX3lxTFA2NWNWTkc0SFl2bnJqVUxsdnBTdkd1Smtzb2tOblVXc2RGUkRUZTNvektfeDh6TkoxOWozQm5ZY1NhanNwakhuZ1FFLWMxWHly?oc=5"" target=""_blank"">UXN ""기술탈취""·SD바이오센서 ""사실무근""…BW조기상환에 '공방'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">매일경제 마켓</font>",Google News RSS,success
google_news_rss,241840,SIGNAL - 서울경제,https://news.google.com/rss/articles/CBMic0FVX3lxTFBOZEdyRjdYNlB2Vm9oZW9zYVp6RWtBNHZxbThTMWxzOEhrX3lZUmlNc1Q4eXg3TUpPNkxXWmQ3a0tDMEJaeXA3a05YQXYzVndpYThsbURyMk1menV5dUhGOGZoWDROdWhfLWNobFNhVGlPRFk?oc=5,2026-08-10T21:44:08+00:00,"<a href=""https://news.google.com/rss/articles/CBMic0FVX3lxTFBOZEdyRjdYNlB2Vm9oZW9zYVp6RWtBNHZxbThTMWxzOEhrX3lZUmlNc1Q4eXg3TUpPNkxXWmQ3a0tDMEJaeXA3a05YQXYzVndpYThsbURyMk1menV5dUhGOGZoWDROdWhfLWNobFNhVGlPRFk?oc=5"" target=""_blank"">SIGNAL</a>&nbsp;&nbsp;<font color=""#6f6f6f"">서울경제</font>",Google News RSS,success
google_news_rss,241840,"[실적속보]에이스토리, 올해 1Q 매출액 67.1억(+432%) 영업이익 -12.1억(적자지속) (연결) - 씽크풀 AI",https://news.google.com/rss/articles/CBMiaEFVX3lxTE5rZzNtal9GR3VnM1oxMmVoN1o5V2tia184SWl4a2l2eURFVGkyZk5xZThLV0pPTi1jRnd6VjRzNjJIRDFzUmloLWYwQ0doc1NFZzR6dVJ0TnVieDcxMkJBUmtGX08yWDVy?oc=5,2026-05-15T07:00:00+00:00,"<a href=""https://news.google.com/rss/articles/CBMiaEFVX3lxTE5rZzNtal9GR3VnM1oxMmVoN1o5V2tia184SWl4a2l2eURFVGkyZk5xZThLV0pPTi1jRnd6VjRzNjJIRDFzUmloLWYwQ0doc1NFZzR6dVJ0TnVieDcxMkJBUmtGX08yWDVy?oc=5"" target=""_blank"">[실적속보]에이스토리, 올해 1Q 매출액 67.1억(+432%) 영업이익 -12.1억(적자지속) (연결)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">씽크풀 AI</font>",Google News RSS,success
google_news_rss,241840,"에이스토리, 드라마 '크래시 시즌2' 방영권 라이센스 계약 - 마켓인",https://news.google.com/rss/articles/CBMic0FVX3lxTE4wcW1xTzdWbk03MlJUMnVCTmhteTFIQ194RVZOZ0JaQXNRSktwWHRsUUtsWWxScUhXMlBCZTBETkd3bUtWTVotRjJRM3BqZEJaUmEweUhhNVQ1dGdGM0hfR3ZIVlNPMWRyWW1XMTBsNktNZUE?oc=5,2026-06-16T07:00:00+00:00,"<a href=""https://news.google.com/rss/articles/CBMic0FVX3lxTE4wcW1xTzdWbk03MlJUMnVCTmhteTFIQ194RVZOZ0JaQXNRSktwWHRsUUtsWWxScUhXMlBCZTBETkd3bUtWTVotRjJRM3BqZEJaUmEweUhhNVQ1dGdGM0hfR3ZIVlNPMWRyWW1XMTBsNktNZUE?oc=5"" target=""_blank"">에이스토리, 드라마 '크래시 시즌2' 방영권 라이센스 계약</a>&nbsp;&nbsp;<font color=""#6f6f6f"">마켓인</font>",Google News RSS,success
google_news_rss,241840,"에이스토리, 스튜디오드래곤과 드라마 제작 공급 계약 체결 - 디지털투데이",https://news.google.com/rss/articles/CBMic0FVX3lxTE9ENU1pNFlJcFNCU3FGOGN2UGZTM3ZJVnE2VW1rNnNEb0ZqTllYX0hGUXl4X2RNbVhGM2trOXlmXzJTNVdWRnlXVzllSDAzNE04YVJSaGNLcFlVdDBDcFFwQVlQLWV5YnpwNFZZUVJuc3I1ME0?oc=5,2026-07-09T07:00:00+00:00,"<a href=""https://news.google.com/rss/articles/CBMic0FVX3lxTE9ENU1pNFlJcFNCU3FGOGN2UGZTM3ZJVnE2VW1rNnNEb0ZqTllYX0hGUXl4X2RNbVhGM2trOXlmXzJTNVdWRnlXVzllSDAzNE04YVJSaGNLcFlVdDBDcFFwQVlQLWV5YnpwNFZZUVJuc3I1ME0?oc=5"" target=""_blank"">에이스토리, 스튜디오드래곤과 드라마 제작 공급 계약 체결</a>&nbsp;&nbsp;<font color=""#6f6f6f"">디지털투데이</font>",Google News RSS,success
google_news_rss,241840,"에이스토리, 드라마 글로벌 방영권 계약 체결 - 디지털투데이",https://news.google.com/rss/articles/CBMic0FVX3lxTFBpenBpUmkzdV9GYVA2UlpWVGJvRTN3RGhqcjdhRkg3YWN5U2ktMWt5LXRnY0JkNWI2N3hRYnY4d2xlbEtyeGNMamxQTHZWY1dRdXdOZmN4dFNaOW1ubHFRMDczUEJzd2NrSjlVcThyOWI3M0E?oc=5,2026-06-16T07:00:00+00:00,"<a href=""https://news.google.com/rss/articles/CBMic0FVX3lxTFBpenBpUmkzdV9GYVA2UlpWVGJvRTN3RGhqcjdhRkg3YWN5U2ktMWt5LXRnY0JkNWI2N3hRYnY4d2xlbEtyeGNMamxQTHZWY1dRdXdOZmN4dFNaOW1ubHFRMDczUEJzd2NrSjlVcThyOWI3M0E?oc=5"" target=""_blank"">에이스토리, 드라마 글로벌 방영권 계약 체결</a>&nbsp;&nbsp;<font color=""#6f6f6f"">디지털투데이</font>",Google News RSS,success
google_news_rss,363280,티와이홀딩스 (363280) - 씽크풀 AI,https://news.google.com/rss/articles/CBMiS0FVX3lxTFBHTmp4Y1ZKVFNhV09QdXIxa19iRWo0N3NLTGZhX0NJSlE0VTlacFZ2eS1sRExfQUlnTHozNnhFeXd5Z0lyNk1UQk10cw?oc=5,2022-08-09T06:42:34+00:00,"<a href=""https://news.google.com/rss/articles/CBMiS0FVX3lxTFBHTmp4Y1ZKVFNhV09QdXIxa19iRWo0N3NLTGZhX0NJSlE0VTlacFZ2eS1sRExfQUlnTHozNnhFeXd5Z0lyNk1UQk10cw?oc=5"" target=""_blank"">티와이홀딩스 (363280)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">씽크풀 AI</font>",Google News RSS,success
google_news_rss,363280,"티와이홀딩스, 자기주식 소각 방식 감자 결정 - 디지털투데이",https://news.google.com/rss/articles/CBMic0FVX3lxTE05Vlc3bU5JNE5PSFdqaFlYRkpIR2pWVzFfTGlBdjhqdlRHdDFqY3dXeFE2SUp3dUF5dDFkWUQ4bGJ2QUEybnZ1MEJFNWxMSmlCNUZEWl9PZmFLOXVCYXlhaDdzRF9jVUk0SVNKYm53ejdkc3M?oc=5,2026-02-26T08:00:00+00:00,"<a href=""https://news.google.com/rss/articles/CBMic0FVX3lxTE05Vlc3bU5JNE5PSFdqaFlYRkpIR2pWVzFfTGlBdjhqdlRHdDFqY3dXeFE2SUp3dUF5dDFkWUQ4bGJ2QUEybnZ1MEJFNWxMSmlCNUZEWl9PZmFLOXVCYXlhaDdzRF9jVUk0SVNKYm53ejdkc3M?oc=5"" target=""_blank"">티와이홀딩스, 자기주식 소각 방식 감자 결정</a>&nbsp;&nbsp;<font color=""#6f6f6f"">디지털투데이</font>",Google News RSS,success
google_news_rss,363280,"태영건설 사장에 최진국…""내실중심 성장에 초점"" - 연합뉴스",https://news.google.com/rss/articles/CBMiW0FVX3lxTE5SemppWGEtV2o3RHpLeGdnUmNScURMdjU3dEJqSlFqMUxyU3lObEx6UExBWGdhNUxSZHRRb3NyMF9fR3pIeDlGaGgyOXNfQjdCNUdBRnpxdUV1cHfSAWBBVV95cUxQd0dHMy1yenZ6SmtaTmZkZkVoTDRhRnNnS1ZIb2cteEktR0o1Nm1UQ3VsQ3pBX2R3ZnVtbDZrWTJidTlMZE95U3pVX3Njc2ZBeWI3cldyWllLa1FReVQ3cEQ?oc=5,2023-11-24T08:00:00+00:00,"<a href=""https://news.google.com/rss/articles/CBMiW0FVX3lxTE5SemppWGEtV2o3RHpLeGdnUmNScURMdjU3dEJqSlFqMUxyU3lObEx6UExBWGdhNUxSZHRRb3NyMF9fR3pIeDlGaGgyOXNfQjdCNUdBRnpxdUV1cHfSAWBBVV95cUxQd0dHMy1yenZ6SmtaTmZkZkVoTDRhRnNnS1ZIb2cteEktR0o1Nm1UQ3VsQ3pBX2R3ZnVtbDZrWTJidTlMZE95U3pVX3Njc2ZBeWI3cldyWllLa1FReVQ3cEQ?oc=5"" target=""_blank"">태영건설 사장에 최진국…""내실중심 성장에 초점""</a>&nbsp;&nbsp;<font color=""#6f6f6f"">연합뉴스</font>",Google News RSS,success
google_news_rss,363280,티와이홀딩스 정기주총서 재무제표 승인·자기주식 소각 감자·정관변경 가결 - 디지털투데이,https://news.google.com/rss/articles/CBMic0FVX3lxTE1CQ3Q4YkF1Y3dnQXhRS2pxVFd4bVNFTWhLc3JSbU51NUdqYndOeUh3UVJnclhUOVZpNFVqWTMtUWNyNkgxWFRGdS1qTzZyM3lGd05mZWVRQkxxYkFJOEc5ODJYNjk3U1ByN2NIM0FFdWU2djQ?oc=5,2026-03-29T07:00:00+00:00,"<a href=""https://news.google.com/rss/articles/CBMic0FVX3lxTE1CQ3Q4YkF1Y3dnQXhRS2pxVFd4bVNFTWhLc3JSbU51NUdqYndOeUh3UVJnclhUOVZpNFVqWTMtUWNyNkgxWFRGdS1qTzZyM3lGd05mZWVRQkxxYkFJOEc5ODJYNjk3U1ByN2NIM0FFdWU2djQ?oc=5"" target=""_blank"">티와이홀딩스 정기주총서 재무제표 승인·자기주식 소각 감자·정관변경 가결</a>&nbsp;&nbsp;<font color=""#6f6f6f"">디지털투데이</font>",Google News RSS,success
