source_provider,query,status,provider_status,item_count,error_message,updated_at
deepsearch_news,006220,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-31 01:13:30
google_news_rss,006220,success,success,5,,2026-08-31 01:13:30
gdelt,006220,failed,failed,0,<urlopen error timed out>,2026-08-31 01:13:36
naver_search,006220,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-31 01:13:36
deepsearch_news,나인테크,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-31 01:13:36
google_news_rss,나인테크,success,success,5,,2026-08-31 01:13:37
gdelt,나인테크,failed,failed,0,<urlopen error timed out>,2026-08-31 01:13:43
naver_search,나인테크,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-31 01:13:43
deepsearch_news,064800,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-31 01:13:43
google_news_rss,064800,success,success,5,,2026-08-31 01:13:43
gdelt,064800,failed,failed,0,<urlopen error timed out>,2026-08-31 01:13:49
naver_search,064800,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-31 01:13:49
deepsearch_news,055550,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-31 01:13:49
google_news_rss,055550,success,success,5,,2026-08-31 01:13:49
gdelt,055550,skipped_after_repeated_failures,skipped_after_repeated_failures,0,Provider disabled for this run after repeated failures.,2026-08-31 01:13:49
naver_search,055550,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-31 01:13:49
deepsearch_news,407400,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-31 01:13:49
google_news_rss,407400,success,success,5,,2026-08-31 01:13:50
gdelt,407400,skipped_after_repeated_failures,skipped_after_repeated_failures,0,Provider disabled for this run after repeated failures.,2026-08-31 01:13:50
naver_search,407400,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-31 01:13:50
deepsearch_news,009160,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-31 01:13:50
google_news_rss,009160,success,success,5,,2026-08-31 01:13:50
gdelt,009160,skipped_after_repeated_failures,skipped_after_repeated_failures,0,Provider disabled for this run after repeated failures.,2026-08-31 01:13:50
naver_search,009160,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-31 01:13:50
deepsearch_news,241840,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-31 01:13:50
google_news_rss,241840,success,success,5,,2026-08-31 01:13:50
gdelt,241840,skipped_after_repeated_failures,skipped_after_repeated_failures,0,Provider disabled for this run after repeated failures.,2026-08-31 01:13:50
