collected_at,source,rank,title,url,top_global_theme,top_global_theme_score,us_market_attention_score,macro_risk_score,korea_relevance_score,body_length
2026-07-30 01:54:20,Sherwood Snacks,1,🥵 The hot seat,https://sherwood.news/snacks/newsletters/the-hot-seat/,ai_semiconductor,10,2,0,14,4227
2026-07-30 01:54:21,Sherwood Snacks,2,💡 Marketplace of ideas,https://sherwood.news/snacks/newsletters/marketplace-of-ideas/,ai_semiconductor,11,4,0,20,4549
2026-07-30 01:54:21,Sherwood Snacks,3,🟢 Peptides get the green light,https://sherwood.news/snacks/newsletters/peptides-get-the-green-light/,ai_semiconductor,13,2,0,28,5303
