source_provider,query,status,provider_status,item_count,error_message,updated_at
gdelt,230360,skipped_after_repeated_failures,skipped_after_repeated_failures,0,Provider disabled for this run after repeated failures.,2026-08-06 10:39:00
naver_search,230360,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-06 10:39:00
deepsearch_news,008470,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-06 10:39:00
google_news_rss,008470,success,success,5,,2026-08-06 10:39:00
gdelt,008470,skipped_after_repeated_failures,skipped_after_repeated_failures,0,Provider disabled for this run after repeated failures.,2026-08-06 10:39:00
naver_search,008470,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-06 10:39:00
deepsearch_news,403550,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-06 10:39:00
google_news_rss,403550,success,success,5,,2026-08-06 10:39:01
gdelt,403550,skipped_after_repeated_failures,skipped_after_repeated_failures,0,Provider disabled for this run after repeated failures.,2026-08-06 10:39:01
naver_search,403550,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-06 10:39:01
deepsearch_news,007570,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-06 10:39:01
google_news_rss,007570,success,success,5,,2026-08-06 10:39:02
gdelt,007570,skipped_after_repeated_failures,skipped_after_repeated_failures,0,Provider disabled for this run after repeated failures.,2026-08-06 10:39:02
naver_search,007570,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-06 10:39:02
deepsearch_news,009540,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-06 10:39:02
google_news_rss,009540,success,success,5,,2026-08-06 10:39:02
gdelt,009540,skipped_after_repeated_failures,skipped_after_repeated_failures,0,Provider disabled for this run after repeated failures.,2026-08-06 10:39:02
naver_search,009540,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-06 10:39:02
deepsearch_news,185750,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-06 10:39:02
google_news_rss,185750,success,success,5,,2026-08-06 10:39:03
gdelt,185750,skipped_after_repeated_failures,skipped_after_repeated_failures,0,Provider disabled for this run after repeated failures.,2026-08-06 10:39:03
naver_search,185750,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-06 10:39:03
