collected_at,source,rank,title,url,top_global_theme,top_global_theme_score,us_market_attention_score,macro_risk_score,korea_relevance_score,body_length
2026-08-05 23:20:54,Sherwood Snacks,1,🍔 McDonald's orders a turnaround,https://sherwood.news/snacks/newsletters/mcdonalds-orders-a-turnaround/,ai_semiconductor,23,2,0,33,4422
2026-08-05 23:20:55,Sherwood Snacks,2,🛢️ Crude diet,https://sherwood.news/snacks/newsletters/crude-diet/,energy_commodity,24,3,0,34,4841
2026-08-05 23:20:56,Sherwood Snacks,3,💫 Orbital maneuvering,https://sherwood.news/snacks/newsletters/orbital-maneuvering/,ev_battery,19,2,0,18,6000
