stock_code,candidate_date,candidate_pool_date,signal_date,prediction_date,candidate_action,prediction_direction,prediction_score,final_price_signal_score,price_candidate_score,price_signal_score_v1,price_score_base,supplementary_score,base_momentum_score,volume_confirmation_score,liquidity_score,volatility_penalty,overextension_penalty,reversal_risk_penalty,news_risk_penalty,attention_noise_penalty,market_regime_penalty,healthy_context_score,final_price_signal_score_v2,score_version,signal_label,close,return_1d,return_5d,return_20d,ma5,ma20,volume_ratio_20d,volatility_20d,price_source,corp_name,stock_name,event_type,social_attention_label,social_risk_label,news_risk_score,news_negative_keyword_count,news_risk_keyword_count,source_file,candidate_rank,selected_pick,selection_reason
017670,2026-07-24,2026-07-24,2026-07-24,2026-07-26,WATCHLIST,neutral_positive,67.97,67.97,67.97,98.59,98.59,0,68.29,3.0,3,4.32,0.0,0.0,2.0,0.0,0,0,67.97,v2_conservative_ranker,price_momentum,100000.0,0.005,0.1148,0.0941,92680.0,88505.0,3.3529,0.036,pykrx,,,,,,2,2,0,data/raw/price_017670_20260328_20260726.csv,1,True,Top 20 by conservative v2 price signal score
114450,2026-07-24,2026-07-24,2026-07-24,2026-07-26,WATCHLIST,neutral_positive,66.27,66.27,66.27,88.44,88.44,0,69.84,0.0,2,4.57,0.0,0.0,1.0,0.0,0,0,66.27,v2_conservative_ranker,strong_price_momentum,2095.0,0.0024,0.0295,0.1684,2002.4,1886.75,0.813,0.0381,pykrx,,,,,,1,1,0,data/raw/price_114450_20260328_20260726.csv,2,True,Top 20 by conservative v2 price signal score
005710,2026-07-24,2026-07-24,2026-07-24,2026-07-26,WATCHLIST,neutral_positive,65.39,65.39,65.39,86.36,86.36,0,66.12,0.0,3,2.72,0.0,0.0,1.0,0.0,0,0,65.39,v2_conservative_ranker,strong_price_momentum,10890.0,0.0065,0.0264,0.0708,10686.0,10520.5,1.0751,0.0227,pykrx,,,,,,1,1,0,data/raw/price_005710_20260328_20260726.csv,3,True,Top 20 by conservative v2 price signal score
340570,2026-07-24,2026-07-24,2026-07-24,2026-07-26,WATCHLIST,neutral_positive,62.69,62.69,62.69,75.12,75.12,0,63.63,1.12,3,5.05,0.0,0.0,3.0,0.0,0,3,62.69,v2_conservative_ranker,price_momentum,56300.0,0.0126,0.0744,0.0911,53200.0,53135.0,1.2233,0.0421,pykrx,,,,,,3,3,0,data/raw/price_340570_20260328_20260726.csv,4,True,Top 20 by conservative v2 price signal score
290720,2026-07-24,2026-07-24,2026-07-24,2026-07-26,WATCHLIST,neutral_positive,62.22,62.22,62.22,92.24,92.24,0,72.7,-2.0,2,4.33,4.15,0.0,2.0,0.0,0,0,62.22,v2_conservative_ranker,strong_price_momentum,3245.0,0.022,0.057,0.4422,3112.0,2925.0,0.6913,0.0361,pykrx,,,,,,2,2,0,data/raw/price_290720_20260328_20260726.csv,5,True,Top 20 by conservative v2 price signal score
008930,2026-07-24,2026-07-24,2026-07-24,2026-07-26,WATCHLIST,neutral_positive,60.08,60.08,60.08,75.98,75.98,0,64.81,-2.0,2,4.73,0.0,0.0,1.0,0.0,0,1,60.08,v2_conservative_ranker,price_momentum,34600.0,0.0073,0.0581,0.2674,33540.0,32017.5,0.6854,0.0394,pykrx,,,,,,1,1,0,data/raw/price_008930_20260328_20260726.csv,6,True,Top 20 by conservative v2 price signal score
215380,2026-07-24,2026-07-24,2026-07-24,2026-07-26,HOLD,neutral,59.88,59.88,59.88,73.5,73.5,0,65.19,-2.0,2,4.31,0.0,0.0,2.0,0.0,0,1,59.88,v2_conservative_ranker,price_momentum,2525.0,-0.0098,0.0814,0.1197,2471.0,2444.5,0.4948,0.0359,pykrx,,,,,,2,2,0,data/raw/price_215380_20260328_20260726.csv,7,True,Top 20 by conservative v2 price signal score
053580,2026-07-24,2026-07-24,2026-07-24,2026-07-26,HOLD,neutral,58.05,58.05,58.05,72.5,72.5,0,61.96,0.0,2,3.91,0.0,0.0,2.0,0.0,0,0,58.05,v2_conservative_ranker,price_momentum,6570.0,-0.009,0.0614,0.0806,6350.0,6241.5,0.9312,0.0326,pykrx,,,,,,2,2,0,data/raw/price_053580_20260328_20260726.csv,8,True,Top 20 by conservative v2 price signal score
112610,2026-07-24,2026-07-24,2026-07-24,2026-07-26,HOLD,neutral,57.67,57.67,57.67,65.03,65.03,0,58.26,1.76,3,6.35,0.0,0.0,2.0,0.0,0,3,57.67,v2_conservative_ranker,neutral,43200.0,-0.0303,0.0841,0.036,41000.0,41110.0,1.3515,0.0529,pykrx,,,,,,2,2,0,data/raw/price_112610_20260328_20260726.csv,9,True,Top 20 by conservative v2 price signal score
134790,2026-07-24,2026-07-24,2026-07-24,2026-07-26,HOLD,neutral,56.34,56.34,56.34,73.4,73.4,0,61.12,-2.0,2,2.78,0.0,0.0,2.0,0.0,0,0,56.34,v2_conservative_ranker,price_momentum,19310.0,-0.0031,0.0212,0.1854,19350.0,18957.5,0.7221,0.0232,pykrx,,,,,,2,2,0,data/raw/price_134790_20260328_20260726.csv,10,True,Top 20 by conservative v2 price signal score
