stock_code,candidate_date,candidate_pool_date,signal_date,prediction_date,candidate_action,prediction_direction,prediction_score,final_price_signal_score,price_candidate_score,price_signal_score_v1,price_score_base,supplementary_score,base_momentum_score,volume_confirmation_score,liquidity_score,volatility_penalty,overextension_penalty,reversal_risk_penalty,news_risk_penalty,attention_noise_penalty,market_regime_penalty,healthy_context_score,final_price_signal_score_v2,score_version,v3_momentum_quality_score,v3_volume_quality_score,v3_liquidity_quality_score,v3_stability_score,v3_overextension_penalty,v3_reversal_penalty,v3_noise_penalty,v3_final_score,final_price_signal_score_v3,experimental_score_version,signal_label,close,return_1d,return_5d,return_20d,ma5,ma20,volume_ratio_20d,volatility_20d,price_source,corp_name,stock_name,event_type,social_attention_label,social_risk_label,news_risk_score,news_negative_keyword_count,news_risk_keyword_count,source_file,candidate_rank,selected_pick,selection_reason,v3_rank,v3_selected_pick,v3_selection_reason
013520,2026-08-05,2026-08-05,2026-08-05,2026-08-05,BUY_CANDIDATE,positive,77.23,77.23,77.23,108.42,108.42,0,74.62,3.88,3,4.27,0.0,0.0,0.0,0.0,0,0,77.23,v2_conservative_ranker,47.9,8.0,6,7.66,5.51,0.0,0.0,64.05,64.05,v3_stability_ranker,strong_price_momentum,2710.0,0.0463,0.1757,0.0463,2565.0,2519.25,1.7767,0.0356,pykrx,,,,,,,,,data/raw/price_013520_20260407_20260805.csv,1,True,Top 20 by conservative v2 price signal score,22,False,Broad evaluation pool candidate
340570,2026-08-05,2026-08-05,2026-08-05,2026-08-05,BUY_CANDIDATE,positive,76.59,76.59,76.59,114.54,114.54,0,79.0,4.15,3,5.71,3.85,0.0,0.0,0.0,0,0,76.59,v2_conservative_ranker,46.56,5.0,6,6.86,13.44,0.42,0.0,50.57,50.57,v3_stability_ranker,strong_price_momentum,65600.0,0.0331,0.1949,0.1863,59240.0,54925.0,1.8303,0.0476,pykrx,,,,,,,,,data/raw/price_340570_20260407_20260805.csv,2,True,Top 20 by conservative v2 price signal score,67,False,Broad evaluation pool candidate
000950,2026-08-05,2026-08-05,2026-08-05,2026-08-05,BUY_CANDIDATE,positive,75.33,75.33,75.33,119.01,119.01,0,79.0,3.0,3,4.99,4.68,0.0,0.0,0.0,0,0,75.33,v2_conservative_ranker,44.23,-0.36,4,3.76,17.57,6.44,0.0,27.62,27.62,v3_stability_ranker,strong_price_momentum,31500.0,0.066,0.2281,0.1798,28670.0,27065.0,2.5302,0.0416,unknown,전방,전방,major_shareholder_change,,,,,,data/raw/price_000950_20260706_20260805.csv,3,True,Top 20 by conservative v2 price signal score,165,False,Broad evaluation pool candidate
330730,2026-08-05,2026-08-05,2026-08-05,2026-08-05,WATCHLIST,neutral_positive,72.06,72.06,72.06,98.99,98.99,0,70.88,2.24,3,4.07,0.0,0.0,0.0,0.0,0,0,72.06,v2_conservative_ranker,47.84,8.0,6,11.91,5.37,0.0,0.0,68.39,68.39,v3_stability_ranker,strong_price_momentum,4900.0,0.0316,0.1765,0.0538,4579.0,4496.75,1.4483,0.0339,pykrx,,,,,,,,,data/raw/price_330730_20260407_20260805.csv,4,True,Top 20 by conservative v2 price signal score,14,True,Experimental Top 20 by stability-first v3 score
084870,2026-08-05,2026-08-05,2026-08-05,2026-08-05,WATCHLIST,neutral_positive,71.83,71.83,71.83,87.19,87.19,0,66.94,2.79,3,3.9,0.0,0.0,0.0,0.0,0,3,71.83,v2_conservative_ranker,53.0,8.0,6,12.12,0.0,0.0,0.0,79.12,79.12,v3_stability_ranker,price_momentum,2040.0,0.0124,0.1033,0.0554,1996.0,1941.4,1.5573,0.0325,pykrx,,,,,,,,,data/raw/price_084870_20260407_20260805.csv,5,True,Top 20 by conservative v2 price signal score,1,True,Experimental Top 20 by stability-first v3 score
018260,2026-08-05,2026-08-05,2026-08-05,2026-08-05,WATCHLIST,neutral_positive,71.08,71.08,71.08,99.12,99.12,0,73.35,0.79,3,6.06,0.0,0.0,0.0,0.0,0,0,71.08,v2_conservative_ranker,48.42,8.0,6,2.42,7.3,0.88,0.0,56.66,56.66,v3_stability_ranker,strong_price_momentum,230500.0,0.0501,0.1683,0.1244,211540.0,201890.0,1.1578,0.0505,pykrx,,,,,,,,,data/raw/price_018260_20260407_20260805.csv,6,True,Top 20 by conservative v2 price signal score,47,False,Broad evaluation pool candidate
053580,2026-08-05,2026-08-05,2026-08-05,2026-08-05,WATCHLIST,neutral_positive,70.49,70.49,70.49,98.19,98.19,0,72.27,0.0,2,3.78,0.0,0.0,0.0,0.0,0,0,70.49,v2_conservative_ranker,53.0,2.0,6,12.28,2.56,0.0,0.0,70.71,70.71,v3_stability_ranker,strong_price_momentum,6790.0,0.0089,0.147,0.0934,6500.0,6297.0,0.9942,0.0315,pykrx,,,,,,,,,data/raw/price_053580_20260407_20260805.csv,7,True,Top 20 by conservative v2 price signal score,10,True,Experimental Top 20 by stability-first v3 score
005710,2026-08-05,2026-08-05,2026-08-05,2026-08-05,WATCHLIST,neutral_positive,67.99,67.99,67.99,88.77,88.77,0,71.83,-2.0,2,2.84,0.0,0.0,1.0,0.0,0,0,67.99,v2_conservative_ranker,57.0,-3.0,1,13.45,0.0,0.0,1.6,66.84,66.84,v3_stability_ranker,strong_price_momentum,11530.0,-0.0009,0.0776,0.0877,11274.0,10745.5,0.4993,0.0237,pykrx,,,,,,1,1,0,data/raw/price_005710_20260407_20260805.csv,8,True,Top 20 by conservative v2 price signal score,18,True,Experimental Top 20 by stability-first v3 score
008930,2026-08-05,2026-08-05,2026-08-05,2026-08-05,WATCHLIST,neutral_positive,67.85,67.85,67.85,103.37,103.37,0,75.0,0.0,2,3.82,3.34,0.0,2.0,0.0,0,0,67.85,v2_conservative_ranker,38.09,2.0,6,9.23,12.56,0.0,3.2,39.56,39.56,v3_stability_ranker,strong_price_momentum,40350.0,0.0293,0.2027,0.2749,37240.0,34330.0,0.9256,0.0318,pykrx,,,,,,2,2,0,data/raw/price_008930_20260407_20260805.csv,9,True,Top 20 by conservative v2 price signal score,124,False,Broad evaluation pool candidate
144510,2026-08-05,2026-08-05,2026-08-05,2026-08-05,WATCHLIST,neutral_positive,67.83,67.83,67.83,90.84,90.84,0,69.72,0.0,2,3.89,0.0,0.0,0.0,0.0,0,0,67.83,v2_conservative_ranker,53.0,2.0,1,12.14,0.0,0.0,0.0,68.14,68.14,v3_stability_ranker,strong_price_momentum,14340.0,0.0007,0.1194,0.0206,13660.0,13392.0,0.8514,0.0324,pykrx,,,,,,,,,data/raw/price_144510_20260407_20260805.csv,10,True,Top 20 by conservative v2 price signal score,16,True,Experimental Top 20 by stability-first v3 score
