source_provider,query,news_count,unique_source_count,positive_keyword_count,negative_keyword_count,risk_keyword_count,attention_keyword_count,news_attention_score,news_risk_score,top_titles
google_news_rss,000760,5,1,3,2,0,1,10,2,"이화산업(000760) - 매일경제 마켓 | 상한가(11월28일), 11월 마지막 주 '불기둥' 종목은?? : 네이버 블로그 - Naver Blog | 대성산업, 상한가 진입.. +29.97% ↑ - 서울경제"
google_news_rss,001470,5,1,2,4,1,0,7,6,"삼부토건, 유상증자…리빌드삼부홀딩스에 제3자배정 - 연합뉴스 | 삼부토건 최대주주 한국자산신탁으로 변경, 보통주 2426만2365주 19.64% - 디지털투데이 | 주말 추천주+++++++++ - 씽크풀 AI"
google_news_rss,007980,5,1,3,2,0,1,10,2,"TP, 최대주주등 보통주식 1만5220주 증가 - 디지털투데이 | TP, 관세 파고 넘어 수주 다변화…재무구조 개선 - ibtomato.com | 류현 상무, TP 주식 1691주 증가 - 디지털투데이"
google_news_rss,008930,5,1,2,1,0,0,7,1,"EPS 성장률이 중요하다고 생각하신다면, 한미사이언스(KRX:008930)가 좋은 투자 기회를 제공합니다. - simplywall.st | [인사] 한미그룹 - 연합뉴스 | 한미약품그룹 경영권 다시 긴장…잇단 지분 이동 - 매일경제 마켓"
google_news_rss,012160,5,1,1,2,0,0,6,2,"변태용 대표이사, 영흥 주식 1만주 매수로 지분율 0.06% 증가 - 디지털투데이 | 영흥 (012160) - 씽크풀 AI | 영흥(012160) - 매일경제 마켓"
google_news_rss,020560,5,1,0,3,0,0,5,3,"통합 대한항공 출범 마지막 퍼즐, 아시아나 계열사 정리 방안 윤곽 - 뉴스1 | 아시아나항공 국제선 유류할증료도 낮아져…최대 20만2900원 - 파이낸셜뉴스 | 아시아나항공, 에어부산 전환사채 행사...단기 차입도 1500억원 ‘수혈’ - 서울경제"
google_news_rss,023440,5,1,0,6,3,0,5,12,"제이스코홀딩스, 25억 규모 전환사채 발행 결정 - edaily.co.kr | [IB토마토]제이스코홀딩스, 최대주주 '페이퍼컴퍼니'로 바뀌나…주주 우려 확산 - 뉴스토마토 | 제이스코홀딩스 (023440) - 씽크풀 AI"
google_news_rss,024720,5,1,0,3,0,1,7,3,"콜마홀딩스, 최대주주등 보통주 1만주 감소…이현수 장내매도 - 디지털투데이 | “신약클러스터도 못 살렸다”…매각 부인하던 우정바이오, 콜마에 경영권 넘긴다 - 팜이데일리 | 콜마홀딩스, 최대주주등 보유주식 5000주 감소 - 디지털투데이"
google_news_rss,058730,5,1,3,1,0,2,12,1,"특징주, 다스코-태양광에너지 테마 상승세에 6.12% ↑ - 매일경제 마켓 | 오후 이슈 [서남권 반도체] : 금호전기, 서산, 다스코, 동양파일, 대한제당 - 씽크풀 AI | 다스코, 필리핀 태양광 사업 본격 추진 '주목'…""스페이스X 상장 모멘텀까지 겹호재"" - 프라임경제"
google_news_rss,088790,5,1,2,2,0,0,7,2,"대한민국 NO1 가치투자포털 - 아이투자 | [실적속보]진도, 올해 1Q 매출액 156억(+1.7%) 영업이익 9억(+42%) (개별) - 씽크풀 AI | 진도, 매수잔량 303% 급증 - 서울경제"
google_news_rss,236810,5,1,1,2,0,0,6,2,"엔비티, 첫 배당·자사주 소각 검토…3분기 밸류업 계획 발표 - edaily.co.kr | 엔비티, 2026년 매출액 1079억원·영업이익 21억원 전망 - 디지털투데이 | [실적속보]엔비티, 올해 3Q 매출액 230억(-17%) 영업이익 -17억(적자전환) (연결) - 씽크풀 AI"
google_news_rss,263800,5,1,4,2,0,1,11,2,"[특징주] 데이타솔루션, 대규모 공급 계약 체결에 상한가 - 연합뉴스 | 데이타솔루션, 삼성SDS와 대규모 공급 계약 소식에 '2연상' - 마켓인 | 데이타솔루션 수주공시 - 물품(스토리지,샌스위치) 공급 계약 293억원 (매출액대비 28.2 %) - 한국경제"
google_news_rss,296160,5,1,4,1,0,1,11,1,"프로젠 김종균 대표이사 사장, 소유 주식 수량 7546주 증가…소유 지분율 0.03%p 상승 - 디지털투데이 | 프로젠, ‘상장 전문가’ 영입했는데... 수급 불안에 6천원서 밀려나 - 프리스탁뉴스 | 대한민국 NO1 가치투자포털 - 아이투자"
google_news_rss,322780,5,1,3,2,0,0,8,2,"코퍼스코리아, 75억원 유증…아티스트스튜디오 등에 3자 배정 - 연합뉴스 | 코퍼스코리아, 경영권 변경 관한 계약 체결 - 마켓인 | 오전 11:30 현재 코스닥은 43:57으로 매수우위, 매수강세 업종은 출판·매체복제업(0.20%↓) - 서울경제"
google_news_rss,368970,5,1,1,2,0,0,6,2,"오에스피, 시가총액 미달로 관리종목 지정→투자자 주의 필요 - 톱스타뉴스 | [정오 시황] 코스닥 798.72, 하락세(▼32.51, -3.91%) 지속 - 서울경제 | 로보인베스팅 골든크로스 돌파 종목 : 코스모신소재(005070) & 오에스피(368970) - Investing.com 한국어"
google_news_rss,419540,5,1,0,2,0,0,5,2,"[MK 골든크로스 돌파종목 : 주성코퍼레이션(109070) & 비스토스(419540)] - 매일경제 | 비스토스 (419540) - 씽크풀 AI | 비스토스, 최대주주 이후정 외 3인→씨유메디칼시스템 변경 - 마켓인"
google_news_rss,465770,5,1,3,2,0,2,12,2,"중동 긴장에 유가 급등…신재생에너지·해운주 동반 강세[핫종목] - 뉴스1 | [특징주] 중동 긴장 고조에 정유·해운주 줄줄이 상승(종합) - 매일경제 마켓 | STX그린로지스, 호르무즈 해협 재봉쇄에 '상한가' - 마켓인"
google_news_rss,신한지주,5,1,2,1,0,0,7,1,"신한지주, 최대주주 국민연금 지분 9.19%로 상승 - 데이터투자 | “실익은 분명, 부담도 선명”...롯데손보 품기 나선 신한지주 - 에너지경제신문 | 4대 금융, 이번주 후반 실적발표...금리 인상 ‘최대 수혜주’ 이어가나 - 오피니언뉴스"
google_news_rss,유디엠텍,5,1,4,2,0,0,9,2,"유디엠텍 투자분석 2026. 07. 18 - 주달 | 유디엠텍, 글로벌 완성차 제조사와 'AI·AR 스마트팩토리 보전 솔루션' 공동개발 계약 - 파이낸스스코프 | 유디엠텍, 유럽 ‘말로지카’와 파트너십 체결… 유럽 현지 맞춤형 PLC 진단 솔루션 출시 - 뉴스와이어"
google_news_rss,푸드나무,5,1,1,3,0,0,6,3,"[IB토마토]푸드나무 김우주 대표, 224억 전액 차입…무자본 M&A 의혹 - 뉴스토마토 | [인터뷰H] 김우주 푸드나무 공동대표 ""식단 넘어 헬스케어까지…건강식 플랫폼 고도화"" - 매경헬스 | ‘3사 상폐’ 이그룹의 자금 지원... 회장 아들, 푸드나무 무자본 M&A 성공 - 조선비즈 - Chosunbiz"
