stock_code,corp_name,event_type,report_nm,news_count,news_sentiment_score,hype_keyword_count,rumor_keyword_count,retail_keyword_count,positive_catalyst_keyword_count,risk_noise_keyword_count,social_attention_score,rumor_noise_score,risk_noise_score,attention_label,rumor_label,risk_label,source_text_sample
468760,유진스팩10호,merger,[첨부정정]주요사항보고서(회사합병결정),5.0,5.0,0,0,0,2,0,7.5,0,0,medium_attention,no_rumor_signal,no_risk_noise,"유진스팩10호 [첨부정정]주요사항보고서(회사합병결정) merger 6월 30일 주식시장 주요공시 | 유진스팩10호, SPAC 합병 예비심사 청구로 주권매매거래 정지→시장 주... | 유진스팩10호, 정기주총서 재무제표 승인·이사·감사 보수한도 가결"
014790,HL D&I,supply_contract,단일판매ㆍ공급계약체결              ,5.0,4.0,1,0,0,3,0,12.5,0,0,high_attention,no_rumor_signal,no_risk_noise,"HL D&I 단일판매ㆍ공급계약체결               supply_contract HL D&I, 1551억 규모 고속국도 건설공사 수주 | 증권가, '3대 메가' 수혜주 발굴에 발빠르게 나서... ""건설·로봇 주목"" | 삼전닉스 '3대 메가 프로젝트' 훈풍, '건설·재생에너지주'에도 분다"
028050,삼성E&A,supply_contract,단일판매ㆍ공급계약체결              ,5.0,9.0,0,0,0,3,0,9.5,0,0,medium_attention,no_rumor_signal,no_risk_noise,"삼성E&A 단일판매ㆍ공급계약체결               supply_contract 삼성E&A 주가, 7월 1일 장중 51,700원 8.61% 상승 | 삼성E&A, 중동서 7.9억달러 수처리 프로젝트 수주 [공시pick] | [특징주] 삼성E&A, 중동 3800억원 규모 수처리 프로젝트 수주 소식에 12%..."
