stock_code,candidate_date,candidate_pool_date,signal_date,prediction_date,candidate_action,prediction_direction,prediction_score,final_price_signal_score,price_candidate_score,price_signal_score_v1,price_score_base,supplementary_score,base_momentum_score,volume_confirmation_score,liquidity_score,volatility_penalty,overextension_penalty,reversal_risk_penalty,news_risk_penalty,attention_noise_penalty,market_regime_penalty,healthy_context_score,final_price_signal_score_v2,score_version,v3_momentum_quality_score,v3_volume_quality_score,v3_liquidity_quality_score,v3_stability_score,v3_overextension_penalty,v3_reversal_penalty,v3_noise_penalty,v3_final_score,final_price_signal_score_v3,experimental_score_version,signal_label,close,return_1d,return_5d,return_20d,ma5,ma20,volume_ratio_20d,volatility_20d,price_source,corp_name,stock_name,event_type,social_attention_label,social_risk_label,news_risk_score,news_negative_keyword_count,news_risk_keyword_count,source_file,candidate_rank,selected_pick,selection_reason,v3_rank,v3_selected_pick,v3_selection_reason
006220,2026-08-31,2026-08-31,2026-08-31,2026-08-31,WATCHLIST,neutral_positive,73.27,73.27,73.27,98.19,98.19,0,71.0,4.33,3,2.05,0.0,0.0,6.0,0.0,0,3,73.27,v2_conservative_ranker,53.0,5.0,6,7.44,0.77,0.0,10.6,60.07,60.07,v3_stability_ranker,price_momentum,10380.0,0.0495,0.1173,0.1795,9900.0,9357.0,1.8653,0.0171,kis,,,,,,7,3,2,data/raw/price_006220_20260503_20260831.csv,1,True,Top 20 by conservative v2 price signal score,67,False,Broad evaluation pool candidate
267320,2026-08-31,2026-08-31,2026-08-31,2026-08-31,WATCHLIST,neutral_positive,72.69,72.69,72.69,87.04,84.04,3,65.0,3.96,3,3.26,0.0,0.0,0.0,0.0,0,4,72.69,v2_conservative_ranker,51.0,8.0,6,12.92,0.0,0.0,0.0,77.92,77.92,v3_stability_ranker,price_momentum,2225.0,0.023,0.0801,0.0,2160.0,2106.75,1.7913,0.0272,unknown,나인테크,나인테크,supply_contract,medium_attention,no_risk_noise,,,,data/raw/price_267320_20260801_20260831.csv,2,True,Top 20 by conservative v2 price signal score,1,True,Experimental Top 20 by stability-first v3 score
064800,2026-08-31,2026-08-31,2026-08-31,2026-08-31,WATCHLIST,neutral_positive,68.11,68.11,68.11,94.57,94.57,0,71.0,6.63,3,7.15,8.37,0.0,0.0,0.0,0,3,68.11,v2_conservative_ranker,43.0,5.0,4,1.06,15.87,2.34,0.0,34.85,34.85,v3_stability_ranker,price_momentum,2975.0,-0.1364,0.0858,0.4838,3199.0,2501.9,2.3256,0.0596,kis,,,,,,,,,data/raw/price_064800_20260503_20260831.csv,3,True,Top 20 by conservative v2 price signal score,293,False,Broad evaluation pool candidate
055550,2026-08-31,2026-08-31,2026-08-31,2026-08-31,WATCHLIST,neutral_positive,67.17,67.17,67.17,85.2,85.2,0,69.66,-2.0,2,2.5,0.0,0.0,0.0,0.0,0,0,67.17,v2_conservative_ranker,57.0,-3.0,1,13.88,0.0,0.0,0.0,68.88,68.88,v3_stability_ranker,strong_price_momentum,109200.0,-0.0046,0.0571,0.0844,108320.0,105815.0,0.2254,0.0208,kis,,,,,,,,,data/raw/price_055550_20260503_20260831.csv,4,True,Top 20 by conservative v2 price signal score,7,True,Experimental Top 20 by stability-first v3 score
407400,2026-08-31,2026-08-31,2026-08-31,2026-08-31,WATCHLIST,neutral_positive,65.84,65.84,65.84,94.33,94.33,0,75.0,-2.0,2,3.16,0.0,0.0,6.0,0.0,0,0,65.84,v2_conservative_ranker,53.0,-3.0,1,13.05,0.0,0.0,9.0,55.06,55.06,v3_stability_ranker,strong_price_momentum,2110.0,0.0024,0.1053,0.2023,2075.0,1994.2,0.0712,0.0263,kis,,,,,,6,2,2,data/raw/price_407400_20260503_20260831.csv,5,True,Top 20 by conservative v2 price signal score,117,False,Broad evaluation pool candidate
009160,2026-08-31,2026-08-31,2026-08-31,2026-08-31,WATCHLIST,neutral_positive,65.75,65.75,65.75,91.8,91.8,0,73.81,-2.0,2,2.06,0.0,0.0,6.0,0.0,0,0,65.75,v2_conservative_ranker,57.0,-3.0,1,14.42,0.0,0.0,13.5,55.92,55.92,v3_stability_ranker,strong_price_momentum,5340.0,0.0038,0.0943,0.1374,5169.0,4916.5,0.2028,0.0172,kis,,,,,,9,3,3,data/raw/price_009160_20260503_20260831.csv,6,True,Top 20 by conservative v2 price signal score,110,False,Broad evaluation pool candidate
241840,2026-08-31,2026-08-31,2026-08-31,2026-08-31,WATCHLIST,neutral_positive,65.21,65.21,65.21,82.41,82.41,0,66.46,-2.0,2,1.25,0.0,0.0,0.0,0.0,0,0,65.21,v2_conservative_ranker,57.0,-3.0,1,15.44,0.0,0.0,0.0,70.44,70.44,v3_stability_ranker,strong_price_momentum,2410.0,0.0,0.0255,0.0831,2393.0,2363.25,0.1245,0.0104,kis,,,,,,,,,data/raw/price_241840_20260503_20260831.csv,7,True,Top 20 by conservative v2 price signal score,3,True,Experimental Top 20 by stability-first v3 score
020560,2026-08-31,2026-08-31,2026-08-31,2026-08-31,WATCHLIST,neutral_positive,63.23,63.23,63.23,87.05,87.05,0,71.91,-2.0,2,2.68,0.0,0.0,6.0,0.0,0,0,63.23,v2_conservative_ranker,57.0,-3.0,1,13.65,0.0,0.0,10.6,58.06,58.06,v3_stability_ranker,strong_price_momentum,7610.0,-0.0091,0.0764,0.0934,7494.0,7197.0,0.1616,0.0223,kis,,,,,,7,3,2,data/raw/price_020560_20260503_20260831.csv,8,True,Top 20 by conservative v2 price signal score,84,False,Broad evaluation pool candidate
294870,2026-08-31,2026-08-31,2026-08-31,2026-08-31,WATCHLIST,neutral_positive,63.01,63.01,63.01,87.01,87.01,0,71.57,-2.0,2,2.57,0.0,0.0,6.0,0.0,0,0,63.01,v2_conservative_ranker,57.0,-3.0,1,13.79,0.0,0.0,9.0,59.79,59.79,v3_stability_ranker,strong_price_momentum,23000.0,-0.0065,0.0502,0.1587,22910.0,22182.5,0.0319,0.0214,kis,,,,,,6,2,2,data/raw/price_294870_20260503_20260831.csv,9,True,Top 20 by conservative v2 price signal score,70,False,Broad evaluation pool candidate
250060,2026-08-31,2026-08-31,2026-08-31,2026-08-31,WATCHLIST,neutral_positive,62.76,62.76,62.76,76.38,76.38,0,67.0,-2.0,2,4.24,0.0,0.0,0.0,0.0,0,0,62.76,v2_conservative_ranker,57.0,-3.0,1,11.71,0.0,0.0,0.0,66.7,66.7,v3_stability_ranker,price_momentum,3020.0,-0.0179,0.0903,0.2177,2991.0,2881.75,0.146,0.0353,kis,,,,,,,,,data/raw/price_250060_20260503_20260831.csv,10,True,Top 20 by conservative v2 price signal score,23,False,Broad evaluation pool candidate
