stock_code,candidate_date,candidate_action,prediction_direction,price_candidate_score,price_score_base,supplementary_score,signal_label,close,return_1d,return_5d,return_20d,volume_ratio_20d,volatility_20d,price_source,corp_name,event_type,social_attention_label,social_risk_label,source_file
263800,2026-07-09,BUY_CANDIDATE,positive,115.0,119.0,-4,strong_price_momentum,7720.0,0.2997,0.7042,0.785,14.6175,0.0971,pykrx,,,medium_attention,risk_noise_detected,data/raw/price_263800_20260311_20260709.csv
189330,2026-07-09,BUY_CANDIDATE,positive,99.0,103.0,-4,price_momentum,13910.0,0.1022,0.5456,0.6922,11.6212,0.1012,pykrx,,,medium_attention,risk_noise_detected,data/raw/price_189330_20260311_20260709.csv
008930,2026-07-09,BUY_CANDIDATE,positive,85.57,85.57,0,price_momentum,32150.0,-0.0446,0.0288,0.0789,2.5213,0.0438,pykrx,,,medium_attention,no_risk_noise,data/raw/price_008930_20260311_20260709.csv
368970,2026-07-09,BUY_CANDIDATE,positive,84.66,84.66,0,price_momentum,2435.0,-0.0201,0.2729,0.206,1.2769,0.088,pykrx,,,,,data/raw/price_368970_20260311_20260709.csv
036630,2026-07-09,BUY_CANDIDATE,positive,83.34,83.34,0,price_momentum,9930.0,0.1271,0.6578,-0.1933,8.4971,0.1015,pykrx,,,,,data/raw/price_036630_20260311_20260709.csv
000760,2026-07-09,BUY_CANDIDATE,positive,81.54,81.54,0,price_momentum,12420.0,0.0615,0.0615,-0.0088,1.9646,0.0396,unknown,이화산업,major_shareholder_change,,,data/raw/price_000760_20260609_20260709.csv
012160,2026-07-09,BUY_CANDIDATE,positive,78.18,78.18,0,price_momentum,2005.0,-0.0587,0.3885,0.0665,1.2761,0.078,unknown,영흥,major_shareholder_change,,,data/raw/price_012160_20260609_20260709.csv
253450,2026-07-09,WATCHLIST,neutral_positive,71.13,71.13,0,price_momentum,23050.0,0.036,0.0696,-0.0706,1.9359,0.0392,pykrx,,,,,data/raw/price_253450_20260311_20260709.csv
419540,2026-07-09,WATCHLIST,neutral_positive,65.84,65.84,0,price_momentum,3145.0,-0.0513,0.0048,0.2096,0.1319,0.0543,pykrx,,,,,data/raw/price_419540_20260311_20260709.csv
003070,2026-07-09,WATCHLIST,neutral_positive,63.38,60.38,3,price_momentum,9220.0,-0.0086,-0.0592,0.0132,1.5348,0.0357,unknown,코오롱글로벌,supply_contract,,,data/raw/price_003070_20260609_20260709.csv
