source_provider,query,status,item_count,error_message,updated_at
google_news_rss,134790,success,5,,2026-07-27 23:24:47
google_news_rss,114450,success,5,,2026-07-27 23:24:47
google_news_rss,008930,success,5,,2026-07-27 23:24:47
google_news_rss,018260,success,5,,2026-07-27 23:24:48
google_news_rss,340570,success,5,,2026-07-27 23:24:48
google_news_rss,340810,success,5,,2026-07-27 23:24:49
google_news_rss,018470,success,5,,2026-07-27 23:24:49
google_news_rss,005710,success,5,,2026-07-27 23:24:49
google_news_rss,017670,success,5,,2026-07-27 23:24:50
google_news_rss,해성에어로보틱스,success,5,,2026-07-27 23:24:50
google_news_rss,038680,success,5,,2026-07-27 23:24:51
google_news_rss,236810,success,5,,2026-07-27 23:24:51
google_news_rss,009540,success,5,,2026-07-27 23:24:52
google_news_rss,024720,success,5,,2026-07-27 23:24:52
google_news_rss,215380,success,5,,2026-07-27 23:24:52
google_news_rss,008470,success,5,,2026-07-27 23:24:53
google_news_rss,053580,success,5,,2026-07-27 23:24:53
google_news_rss,휴네시온,success,5,,2026-07-27 23:24:53
google_news_rss,씨엑스아이,success,5,,2026-07-27 23:24:54
google_news_rss,089140,success,5,,2026-07-27 23:24:54
