stock_code,signal_date,close,return_1d,return_5d,return_20d,ma5,ma20,volume_ratio_20d,volatility_20d,breakout_score,signal_label,price_source,source_file
465770,2026-07-21,4970.0,0.2005,0.9567,1.2337,3867.0,2474.8,3.2566,0.1378,3,price_momentum,pykrx,data/raw/price_465770_20260323_20260721.csv
354200,2026-07-21,1825.0,0.2999,0.4236,0.0094,1486.0,1701.2,4.0659,0.0978,2,price_momentum,pykrx,data/raw/price_354200_20260323_20260721.csv
012160,2026-07-21,2330.0,-0.0392,0.2527,0.2394,2281.0,1873.95,0.1644,0.0876,2,price_momentum,pykrx,data/raw/price_012160_20260323_20260721.csv
005710,2026-07-21,10570.0,0.0232,0.0363,0.0373,10424.0,10418.0,0.3763,0.0202,2,price_momentum,pykrx,data/raw/price_005710_20260323_20260721.csv
230360,2026-06-29,16000.0,0.0,0.0,0.0,16000.0,16000.5,0.0,0.0002,2,price_momentum,pykrx,data/raw/price_230360_20260323_20260721.csv
216080,2026-07-21,4550.0,0.0364,0.0271,-0.0236,4502.0,4788.5,0.0514,0.0514,1,neutral,pykrx,data/raw/price_216080_20260323_20260721.csv
040910,2026-07-21,3940.0,-0.0125,0.0194,-0.1035,3955.0,3986.75,0.0169,0.0395,1,neutral,pykrx,data/raw/price_040910_20260323_20260721.csv
004710,2026-07-21,8570.0,-0.0414,0.0154,-0.4457,9186.0,9852.0,0.1099,0.087,1,neutral,unknown,data/raw/price_004710_20260621_20260721.csv
900120,2026-07-21,1057.0,-0.0222,0.0144,-0.279,1082.8,1158.95,0.0254,0.0714,1,neutral,pykrx,data/raw/price_900120_20260323_20260721.csv
296160,2026-07-21,2825.0,-0.0018,0.0089,-0.2131,2815.0,2941.0,0.0841,0.0279,1,neutral,pykrx,data/raw/price_296160_20260323_20260721.csv
368970,2026-07-21,2260.0,-0.0088,-0.0022,0.2384,2259.0,2157.8,0.0293,0.0898,1,neutral,pykrx,data/raw/price_368970_20260323_20260721.csv
008930,2026-07-21,32300.0,-0.0062,-0.0242,0.1373,32380.0,31010.0,0.0578,0.0418,1,neutral,pykrx,data/raw/price_008930_20260323_20260721.csv
024720,2026-07-21,8350.0,0.0072,-0.0245,0.0637,8382.0,8182.0,0.1185,0.0347,1,neutral,pykrx,data/raw/price_024720_20260323_20260721.csv
065770,2026-07-21,1562.0,-0.0388,-0.0304,0.0303,1830.4,1632.6,0.0383,0.1282,1,neutral,pykrx,data/raw/price_065770_20260323_20260721.csv
018700,2026-07-21,1223.0,-0.0657,-0.037,0.2133,1230.6,1074.4,0.1861,0.0795,1,neutral,pykrx,data/raw/price_018700_20260323_20260721.csv
084870,2026-07-21,1882.0,-0.0105,-0.0373,0.0189,1957.4,1902.7,0.2469,0.0292,1,neutral,unknown,data/raw/price_084870_20260621_20260721.csv
263800,2026-07-21,5900.0,0.0536,-0.0375,0.3273,5704.0,5305.25,0.3698,0.1122,1,neutral,pykrx,data/raw/price_263800_20260323_20260721.csv
088790,2026-07-21,2345.0,-0.031,-0.0525,-0.0042,2426.0,2381.25,0.269,0.0326,1,neutral,pykrx,data/raw/price_088790_20260323_20260721.csv
058730,2026-07-21,4505.0,0.0333,-0.0546,0.5402,4598.0,4222.0,0.0814,0.1438,1,neutral,pykrx,data/raw/price_058730_20260323_20260721.csv
000760,2026-07-21,11900.0,0.0,-0.0674,0.0321,12116.0,11915.0,0.0,0.0486,1,neutral,pykrx,data/raw/price_000760_20260323_20260721.csv
055550,2026-07-21,100900.0,-0.0088,-0.0709,0.0349,104880.0,102420.0,0.1405,0.0294,1,neutral,pykrx,data/raw/price_055550_20260323_20260721.csv
322780,2026-07-21,2010.0,-0.029,-0.0737,0.0551,2062.4,1916.3,0.032,0.1728,1,neutral,pykrx,data/raw/price_322780_20260323_20260721.csv
290720,2026-07-21,2955.0,-0.0327,-0.0751,0.1915,3060.0,2791.75,0.0431,0.051,1,neutral,pykrx,data/raw/price_290720_20260323_20260721.csv
431190,2026-07-21,2175.0,-0.0645,-0.0784,-0.1104,2354.0,2315.75,0.2697,0.0443,1,neutral,pykrx,data/raw/price_431190_20260323_20260721.csv
224060,2026-07-21,4425.0,-0.0221,-0.1635,0.1911,4878.0,4572.5,0.0129,0.0982,1,neutral,pykrx,data/raw/price_224060_20260323_20260721.csv
002020,2026-07-21,23050.0,-0.2994,-0.4266,-0.5193,33540.0,42770.0,4.1478,0.0797,1,price_weakness,pykrx,data/raw/price_002020_20260323_20260721.csv
