stock_code,corp_name,report_nm,event_type,event_date,prediction_direction,event_score,initial_confidence,score_reason,news_count,positive_keyword_count,negative_keyword_count,news_sentiment_score,news_attention_score,top_news_titles,next_trade_date,next_open_return,next_close_return,note,prediction_result
420770,기가비스,단일판매ㆍ공급계약체결              ,supply_contract,20260811,positive,70,C,Supply contract disclosures may indicate future revenue growth.,5,7,1,6,5,"[애널픽] 메모리 슈퍼사이클 낙수효과...""반도체 중소형주 타이밍 왔다... | 인텔·엔비디아 채택 기대감… 유리 기판 테마, 장비·소재주 동반 우상... | 웨이퍼 단에서 패키징까지… 반도체 장비·부품주 주가 파죽지세",,,,No next trading day price data available yet.,pending
060230,제이케이시냅스,주요사항보고서(자기전환사채매도결정),convertible_bond,20260811,negative,-60,C,Convertible bonds may create future dilution risk.,5,2,4,-2,5,"[챗ICT]또 부활한다는 싸이월드…석연찮은 '예토전생'이 남긴 것 | 안전 법안 법제화 수혜 기대…배터리 화재 방지 테마 매수 '溫氣' | 시그마체인, 싸이월드 인수 완료 발표 ‘10월 베타 서비스’",,,,No next trading day price data available yet.,pending
126880,제이엔케이글로벌,단일판매ㆍ공급계약체결              ,supply_contract,20260811,positive,70,C,Supply contract disclosures may indicate future revenue growth.,5,6,1,5,5,"제이엔케이글로벌, Dangote Petroleum Refinery and Petrochemicals와 Fired ... | [속보] 제이엔케이글로벌, 1713억원 규모 Fired Heaters 공급계약…지난... | 미·이란 충돌 격화에 치솟는 유가…정유株 강세",,,,No next trading day price data available yet.,pending
126880,제이엔케이글로벌,단일판매ㆍ공급계약체결              ,supply_contract,20260811,positive,70,C,Supply contract disclosures may indicate future revenue growth.,5,6,1,5,5,"제이엔케이글로벌, Dangote Petroleum Refinery and Petrochemicals와 Fired ... | [속보] 제이엔케이글로벌, 1713억원 규모 Fired Heaters 공급계약…지난... | 미·이란 충돌 격화에 치솟는 유가…정유株 강세",,,,No next trading day price data available yet.,pending
126880,제이엔케이글로벌,단일판매ㆍ공급계약체결              ,supply_contract,20260811,positive,70,C,Supply contract disclosures may indicate future revenue growth.,5,6,1,5,5,"제이엔케이글로벌, Dangote Petroleum Refinery and Petrochemicals와 Fired ... | [속보] 제이엔케이글로벌, 1713억원 규모 Fired Heaters 공급계약…지난... | 미·이란 충돌 격화에 치솟는 유가…정유株 강세",,,,No next trading day price data available yet.,pending
126880,제이엔케이글로벌,단일판매ㆍ공급계약체결              ,supply_contract,20260811,positive,70,C,Supply contract disclosures may indicate future revenue growth.,5,6,1,5,5,"제이엔케이글로벌, Dangote Petroleum Refinery and Petrochemicals와 Fired ... | [속보] 제이엔케이글로벌, 1713억원 규모 Fired Heaters 공급계약…지난... | 미·이란 충돌 격화에 치솟는 유가…정유株 강세",,,,No next trading day price data available yet.,pending
126880,제이엔케이글로벌,단일판매ㆍ공급계약체결              ,supply_contract,20260811,positive,70,C,Supply contract disclosures may indicate future revenue growth.,5,6,1,5,5,"제이엔케이글로벌, Dangote Petroleum Refinery and Petrochemicals와 Fired ... | [속보] 제이엔케이글로벌, 1713억원 규모 Fired Heaters 공급계약…지난... | 미·이란 충돌 격화에 치솟는 유가…정유株 강세",,,,No next trading day price data available yet.,pending
126880,제이엔케이글로벌,단일판매ㆍ공급계약체결              ,supply_contract,20260811,positive,70,C,Supply contract disclosures may indicate future revenue growth.,5,6,1,5,5,"제이엔케이글로벌, Dangote Petroleum Refinery and Petrochemicals와 Fired ... | [속보] 제이엔케이글로벌, 1713억원 규모 Fired Heaters 공급계약…지난... | 미·이란 충돌 격화에 치솟는 유가…정유株 강세",,,,No next trading day price data available yet.,pending
126880,제이엔케이글로벌,단일판매ㆍ공급계약체결              ,supply_contract,20260811,positive,70,C,Supply contract disclosures may indicate future revenue growth.,5,6,1,5,5,"제이엔케이글로벌, Dangote Petroleum Refinery and Petrochemicals와 Fired ... | [속보] 제이엔케이글로벌, 1713억원 규모 Fired Heaters 공급계약…지난... | 미·이란 충돌 격화에 치솟는 유가…정유株 강세",,,,No next trading day price data available yet.,pending
126880,제이엔케이글로벌,단일판매ㆍ공급계약체결              ,supply_contract,20260811,positive,70,C,Supply contract disclosures may indicate future revenue growth.,5,6,1,5,5,"제이엔케이글로벌, Dangote Petroleum Refinery and Petrochemicals와 Fired ... | [속보] 제이엔케이글로벌, 1713억원 규모 Fired Heaters 공급계약…지난... | 미·이란 충돌 격화에 치솟는 유가…정유株 강세",,,,No next trading day price data available yet.,pending
126880,제이엔케이글로벌,단일판매ㆍ공급계약체결              ,supply_contract,20260811,positive,70,C,Supply contract disclosures may indicate future revenue growth.,5,6,1,5,5,"제이엔케이글로벌, Dangote Petroleum Refinery and Petrochemicals와 Fired ... | [속보] 제이엔케이글로벌, 1713억원 규모 Fired Heaters 공급계약…지난... | 미·이란 충돌 격화에 치솟는 유가…정유株 강세",,,,No next trading day price data available yet.,pending
126880,제이엔케이글로벌,단일판매ㆍ공급계약체결              ,supply_contract,20260811,positive,70,C,Supply contract disclosures may indicate future revenue growth.,5,6,1,5,5,"제이엔케이글로벌, Dangote Petroleum Refinery and Petrochemicals와 Fired ... | [속보] 제이엔케이글로벌, 1713억원 규모 Fired Heaters 공급계약…지난... | 미·이란 충돌 격화에 치솟는 유가…정유株 강세",,,,No next trading day price data available yet.,pending
126880,제이엔케이글로벌,단일판매ㆍ공급계약체결              ,supply_contract,20260811,positive,70,C,Supply contract disclosures may indicate future revenue growth.,5,6,1,5,5,"제이엔케이글로벌, Dangote Petroleum Refinery and Petrochemicals와 Fired ... | [속보] 제이엔케이글로벌, 1713억원 규모 Fired Heaters 공급계약…지난... | 미·이란 충돌 격화에 치솟는 유가…정유株 강세",,,,No next trading day price data available yet.,pending
126880,제이엔케이글로벌,단일판매ㆍ공급계약체결              ,supply_contract,20260811,positive,70,C,Supply contract disclosures may indicate future revenue growth.,5,6,1,5,5,"제이엔케이글로벌, Dangote Petroleum Refinery and Petrochemicals와 Fired ... | [속보] 제이엔케이글로벌, 1713억원 규모 Fired Heaters 공급계약…지난... | 미·이란 충돌 격화에 치솟는 유가…정유株 강세",,,,No next trading day price data available yet.,pending
126880,제이엔케이글로벌,단일판매ㆍ공급계약체결              ,supply_contract,20260811,positive,70,C,Supply contract disclosures may indicate future revenue growth.,5,6,1,5,5,"제이엔케이글로벌, Dangote Petroleum Refinery and Petrochemicals와 Fired ... | [속보] 제이엔케이글로벌, 1713억원 규모 Fired Heaters 공급계약…지난... | 미·이란 충돌 격화에 치솟는 유가…정유株 강세",,,,No next trading day price data available yet.,pending
126880,제이엔케이글로벌,단일판매ㆍ공급계약체결              ,supply_contract,20260811,positive,70,C,Supply contract disclosures may indicate future revenue growth.,5,6,1,5,5,"제이엔케이글로벌, Dangote Petroleum Refinery and Petrochemicals와 Fired ... | [속보] 제이엔케이글로벌, 1713억원 규모 Fired Heaters 공급계약…지난... | 미·이란 충돌 격화에 치솟는 유가…정유株 강세",,,,No next trading day price data available yet.,pending
126880,제이엔케이글로벌,단일판매ㆍ공급계약체결              ,supply_contract,20260811,positive,70,C,Supply contract disclosures may indicate future revenue growth.,5,6,1,5,5,"제이엔케이글로벌, Dangote Petroleum Refinery and Petrochemicals와 Fired ... | [속보] 제이엔케이글로벌, 1713억원 규모 Fired Heaters 공급계약…지난... | 미·이란 충돌 격화에 치솟는 유가…정유株 강세",,,,No next trading day price data available yet.,pending
126880,제이엔케이글로벌,단일판매ㆍ공급계약체결              ,supply_contract,20260811,positive,70,C,Supply contract disclosures may indicate future revenue growth.,5,6,1,5,5,"제이엔케이글로벌, Dangote Petroleum Refinery and Petrochemicals와 Fired ... | [속보] 제이엔케이글로벌, 1713억원 규모 Fired Heaters 공급계약…지난... | 미·이란 충돌 격화에 치솟는 유가…정유株 강세",,,,No next trading day price data available yet.,pending
126880,제이엔케이글로벌,단일판매ㆍ공급계약체결              ,supply_contract,20260811,positive,70,C,Supply contract disclosures may indicate future revenue growth.,5,6,1,5,5,"제이엔케이글로벌, Dangote Petroleum Refinery and Petrochemicals와 Fired ... | [속보] 제이엔케이글로벌, 1713억원 규모 Fired Heaters 공급계약…지난... | 미·이란 충돌 격화에 치솟는 유가…정유株 강세",,,,No next trading day price data available yet.,pending
126880,제이엔케이글로벌,단일판매ㆍ공급계약체결              ,supply_contract,20260811,positive,70,C,Supply contract disclosures may indicate future revenue growth.,5,6,1,5,5,"제이엔케이글로벌, Dangote Petroleum Refinery and Petrochemicals와 Fired ... | [속보] 제이엔케이글로벌, 1713억원 규모 Fired Heaters 공급계약…지난... | 미·이란 충돌 격화에 치솟는 유가…정유株 강세",,,,No next trading day price data available yet.,pending
126880,제이엔케이글로벌,단일판매ㆍ공급계약체결              ,supply_contract,20260811,positive,70,C,Supply contract disclosures may indicate future revenue growth.,5,6,1,5,5,"제이엔케이글로벌, Dangote Petroleum Refinery and Petrochemicals와 Fired ... | [속보] 제이엔케이글로벌, 1713억원 규모 Fired Heaters 공급계약…지난... | 미·이란 충돌 격화에 치솟는 유가…정유株 강세",,,,No next trading day price data available yet.,pending
126880,제이엔케이글로벌,단일판매ㆍ공급계약체결              ,supply_contract,20260811,positive,70,C,Supply contract disclosures may indicate future revenue growth.,5,6,1,5,5,"제이엔케이글로벌, Dangote Petroleum Refinery and Petrochemicals와 Fired ... | [속보] 제이엔케이글로벌, 1713억원 규모 Fired Heaters 공급계약…지난... | 미·이란 충돌 격화에 치솟는 유가…정유株 강세",,,,No next trading day price data available yet.,pending
126880,제이엔케이글로벌,단일판매ㆍ공급계약체결              ,supply_contract,20260811,positive,70,C,Supply contract disclosures may indicate future revenue growth.,5,6,1,5,5,"제이엔케이글로벌, Dangote Petroleum Refinery and Petrochemicals와 Fired ... | [속보] 제이엔케이글로벌, 1713억원 규모 Fired Heaters 공급계약…지난... | 미·이란 충돌 격화에 치솟는 유가…정유株 강세",,,,No next trading day price data available yet.,pending
126880,제이엔케이글로벌,단일판매ㆍ공급계약체결              ,supply_contract,20260811,positive,70,C,Supply contract disclosures may indicate future revenue growth.,5,6,1,5,5,"제이엔케이글로벌, Dangote Petroleum Refinery and Petrochemicals와 Fired ... | [속보] 제이엔케이글로벌, 1713억원 규모 Fired Heaters 공급계약…지난... | 미·이란 충돌 격화에 치솟는 유가…정유株 강세",,,,No next trading day price data available yet.,pending
126880,제이엔케이글로벌,단일판매ㆍ공급계약체결              ,supply_contract,20260811,positive,70,C,Supply contract disclosures may indicate future revenue growth.,5,6,1,5,5,"제이엔케이글로벌, Dangote Petroleum Refinery and Petrochemicals와 Fired ... | [속보] 제이엔케이글로벌, 1713억원 규모 Fired Heaters 공급계약…지난... | 미·이란 충돌 격화에 치솟는 유가…정유株 강세",,,,No next trading day price data available yet.,pending
