stock_code,signal_date,close,return_1d,return_5d,return_20d,ma5,ma20,volume_ratio_20d,volatility_20d,breakout_score,signal_label,price_source,source_file
084180,2026-08-21,640.0,0.039,0.2379,0.0111,632.4,555.55,0.4663,0.0882,2,price_momentum,pykrx,data/raw/price_084180_20260425_20260823.csv
366030,2026-08-21,5610.0,-0.0036,0.2276,0.2808,5354.0,4670.0,0.9839,0.0453,2,price_momentum,pykrx,data/raw/price_366030_20260425_20260823.csv
061970,2026-08-21,4860.0,-0.069,0.2,0.1641,5233.0,4183.0,0.6367,0.09,2,price_momentum,pykrx,data/raw/price_061970_20260425_20260823.csv
419540,2026-08-21,3750.0,0.0388,0.1755,0.2887,3570.0,3048.5,0.5939,0.0413,2,price_momentum,pykrx,data/raw/price_419540_20260425_20260823.csv
121440,2026-08-21,7730.0,0.0266,0.1351,0.1589,7496.0,6889.0,0.1288,0.0367,2,price_momentum,pykrx,data/raw/price_121440_20260425_20260823.csv
017670,2026-08-21,102200.0,0.058,0.1218,0.0271,99420.0,90550.0,1.025,0.0573,2,price_momentum,pykrx,data/raw/price_017670_20260425_20260823.csv
086820,2026-08-21,6730.0,-0.0344,0.1198,0.1179,6856.0,6252.5,0.508,0.0463,2,price_momentum,pykrx,data/raw/price_086820_20260425_20260823.csv
038680,2026-08-21,4170.0,-0.0533,0.0974,0.188,4087.0,3746.75,0.7574,0.0499,2,price_momentum,pykrx,data/raw/price_038680_20260425_20260823.csv
089860,2026-08-21,45900.0,0.0,0.08,0.1489,45790.0,41717.5,0.6125,0.0309,2,price_momentum,pykrx,data/raw/price_089860_20260425_20260823.csv
101970,2026-08-21,10410.0,-0.0019,0.0743,0.0901,10166.0,9720.0,1.15,0.044,2,price_momentum,pykrx,data/raw/price_101970_20260425_20260823.csv
009460,2026-08-21,3490.0,0.0072,0.0722,0.1672,3384.0,3189.25,1.0095,0.0263,2,price_momentum,pykrx,data/raw/price_009460_20260425_20260823.csv
900300,2026-08-21,3215.0,0.299,0.0717,0.7435,2770.0,2194.2,0.4312,0.1309,2,price_momentum,pykrx,data/raw/price_900300_20260425_20260823.csv
034730,2026-08-21,586000.0,0.0317,0.0597,-0.1053,576000.0,547175.0,0.9339,0.0716,2,price_momentum,pykrx,data/raw/price_034730_20260425_20260823.csv
089230,2026-08-21,2245.0,0.0491,0.059,0.6905,2064.0,1727.65,0.9086,0.0719,2,price_momentum,pykrx,data/raw/price_089230_20260425_20260823.csv
322780,2026-08-21,2060.0,0.0249,0.0575,-0.0396,2054.0,2012.3,0.8871,0.0246,2,price_momentum,pykrx,data/raw/price_322780_20260425_20260823.csv
236810,2026-08-21,1472.0,0.0,0.0514,0.3237,1504.4,1356.55,0.7408,0.0719,2,price_momentum,pykrx,data/raw/price_236810_20260425_20260823.csv
128940,2026-08-21,415500.0,0.0414,0.0427,0.0681,398700.0,380975.0,1.4635,0.0483,2,price_momentum,pykrx,data/raw/price_128940_20260425_20260823.csv
011330,2026-08-21,5050.0,-0.0039,0.0402,0.2485,5033.0,4476.5,0.225,0.1059,2,price_momentum,pykrx,data/raw/price_011330_20260425_20260823.csv
