stock_code,candidate_date,candidate_action,prediction_direction,price_candidate_score,price_score_base,supplementary_score,signal_label,close,return_1d,return_5d,return_20d,volume_ratio_20d,volatility_20d,price_source,corp_name,event_type,social_attention_label,social_risk_label,source_file
368970,2026-07-07,BUY_CANDIDATE,positive,92.23,95.23,-3,strong_price_momentum,2485.0,-0.006,0.301,0.3086,0.371,0.0878,unknown,오에스피,paid_in_capital_increase,,,data/raw/price_368970_20260607_20260707.csv
002780,2026-07-07,BUY_CANDIDATE,positive,88.59,88.59,0,price_momentum,944.0,-0.1178,0.1995,0.0385,1.9435,0.1008,pykrx,,,low_attention,no_risk_noise,data/raw/price_002780_20260309_20260707.csv
013520,2026-07-07,BUY_CANDIDATE,positive,83.48,83.48,0,price_momentum,2590.0,-0.0263,0.036,0.0975,1.6382,0.0282,unknown,화승코퍼레이션,major_shareholder_change,,,data/raw/price_013520_20260607_20260707.csv
038530,2026-07-07,BUY_CANDIDATE,positive,81.24,85.24,-4,price_momentum,940.0,0.0892,0.1285,-0.0208,4.9365,0.0457,pykrx,,,low_attention,risk_noise_detected,data/raw/price_038530_20260309_20260707.csv
006730,2026-07-07,BUY_CANDIDATE,positive,81.02,81.02,0,price_momentum,11110.0,0.0703,0.1513,0.0018,1.8726,0.0531,pykrx,,,low_attention,no_risk_noise,data/raw/price_006730_20260309_20260707.csv
003490,2026-07-07,BUY_CANDIDATE,positive,76.61,76.61,0,price_momentum,29150.0,0.0139,0.0581,0.173,1.0884,0.0438,pykrx,,,low_attention,no_risk_noise,data/raw/price_003490_20260309_20260707.csv
288980,2026-07-07,WATCHLIST,neutral_positive,74.05,77.05,-3,price_momentum,1012.0,0.0608,0.2048,0.012,1.4262,0.0711,unknown,모아데이타,convertible_bond,,,data/raw/price_288980_20260607_20260707.csv
020560,2026-07-07,WATCHLIST,neutral_positive,69.56,69.56,0,price_momentum,7670.0,-0.0078,0.0435,0.123,0.544,0.042,pykrx,,,low_attention,no_risk_noise,data/raw/price_020560_20260309_20260707.csv
003070,2026-07-07,WATCHLIST,neutral_positive,65.75,65.75,0,price_momentum,9690.0,-0.0112,0.0157,0.1074,0.4017,0.036,unknown,코오롱글로벌,major_shareholder_change,,,data/raw/price_003070_20260607_20260707.csv
419540,2026-07-07,WATCHLIST,neutral_positive,65.23,69.23,-4,price_momentum,3240.0,-0.0226,0.0237,0.2832,0.4112,0.0561,pykrx,,,low_attention,risk_noise_detected,data/raw/price_419540_20260309_20260707.csv
253450,2026-07-07,WATCHLIST,neutral_positive,61.28,61.28,0,neutral,23100.0,0.0572,0.0845,-0.0274,1.0116,0.0387,unknown,스튜디오드래곤,merger,,,data/raw/price_253450_20260607_20260707.csv
007980,2026-07-07,HOLD,neutral,57.76,57.76,0,neutral,1732.0,-0.0006,0.0206,-0.0012,0.9824,0.0213,unknown,TP,major_shareholder_change,,,data/raw/price_007980_20260607_20260707.csv
004990,2026-07-07,HOLD,neutral,54.0,58.0,-4,neutral,24800.0,0.029,0.0806,-0.0516,0.5547,0.0281,pykrx,,,low_attention,risk_noise_detected,data/raw/price_004990_20260309_20260707.csv
018260,2026-07-07,HOLD,neutral,53.13,53.13,0,neutral,205000.0,0.0605,0.0744,-0.1881,1.214,0.0419,pykrx,,,low_attention,no_risk_noise,data/raw/price_018260_20260309_20260707.csv
088790,2026-07-07,HOLD,neutral,52.65,56.65,-4,neutral,2500.0,0.0504,0.0571,-0.0234,0.6235,0.0363,pykrx,,,low_attention,risk_noise_detected,data/raw/price_088790_20260309_20260707.csv
101970,2026-07-07,HOLD,neutral,50.72,47.72,3,neutral,10890.0,0.0074,-0.0985,0.2995,0.2848,0.0614,unknown,우양에이치씨,supply_contract,,,data/raw/price_101970_20260607_20260707.csv
036630,2026-07-07,HOLD,neutral,47.86,51.86,-4,neutral,8200.0,0.2995,0.312,-0.3251,0.4763,0.0947,pykrx,,,low_attention,risk_noise_detected,data/raw/price_036630_20260309_20260707.csv
276730,2026-07-07,HOLD,neutral,47.13,51.13,-4,neutral,19390.0,-0.0281,-0.0448,0.5512,0.2437,0.0785,pykrx,,,medium_attention,risk_noise_detected,data/raw/price_276730_20260309_20260707.csv
068240,2026-07-07,HOLD,neutral,47.0,44.0,3,neutral,2530.0,0.0,0.0,0.0,0.0,0.0,unknown,다원시스,supply_contract,,,data/raw/price_068240_20260607_20260707.csv
001470,2026-07-07,HOLD,neutral,44.0,44.0,0,neutral,347.0,0.0,0.0,0.0,0.0,0.0,pykrx,,,low_attention,no_risk_noise,data/raw/price_001470_20260309_20260707.csv
115480,2026-07-07,HOLD,neutral,42.83,46.83,-4,neutral,1878.0,0.0027,-0.0048,0.0302,0.8104,0.0306,pykrx,,,low_attention,risk_noise_detected,data/raw/price_115480_20260309_20260707.csv
023440,2026-07-07,AVOID,negative,40.0,44.0,-4,neutral,521.0,0.0,0.0,0.0,0.0,0.0,pykrx,,,low_attention,risk_noise_detected,data/raw/price_023440_20260309_20260707.csv
069460,2026-07-07,AVOID,negative,40.0,44.0,-4,neutral,2660.0,0.0,0.0,0.0,0.0,0.0,pykrx,,,low_attention,risk_noise_detected,data/raw/price_069460_20260309_20260707.csv
049950,2026-07-07,AVOID,negative,36.37,36.37,0,neutral,10400.0,-0.0216,-0.0308,-0.0714,0.7108,0.0524,pykrx,,,medium_attention,no_risk_noise,data/raw/price_049950_20260309_20260707.csv
010140,2026-07-07,AVOID,negative,35.83,35.83,0,neutral,22450.0,-0.0527,-0.0365,-0.1315,1.0325,0.0414,unknown,삼성중공업,major_shareholder_change,,,data/raw/price_010140_20260607_20260707.csv
0126Z0,2026-07-07,AVOID,negative,35.08,39.08,-4,neutral,408500.0,0.029,-0.05,-0.0297,1.0885,0.0497,pykrx,,,low_attention,risk_noise_detected,data/raw/price_0126Z0_20260309_20260707.csv
004380,2026-07-07,AVOID,negative,35.0,35.0,0,neutral,8150.0,-0.0274,-0.0133,-0.0944,0.3365,0.0497,unknown,삼익THK,major_shareholder_change,,,data/raw/price_004380_20260607_20260707.csv
019570,2026-07-07,AVOID,negative,33.09,36.09,-3,neutral,296.0,0.0,0.0,-0.1084,0.0,0.0249,unknown,플루토스,convertible_bond,,,data/raw/price_019570_20260607_20260707.csv
025980,2026-07-07,AVOID,negative,32.9,36.9,-4,neutral,3995.0,0.0063,-0.016,-0.1053,0.6787,0.0431,pykrx,,,low_attention,risk_noise_detected,data/raw/price_025980_20260309_20260707.csv
013720,2026-07-07,AVOID,negative,31.49,31.49,0,neutral,458.0,-0.0129,-0.0913,0.0155,0.3474,0.0624,unknown,청보,spin_off,,,data/raw/price_013720_20260607_20260707.csv
