collected_at,source,rank,title,url,top_global_theme,top_global_theme_score,us_market_attention_score,macro_risk_score,korea_relevance_score,body_length
2026-07-03 00:30:35,Sherwood Snacks,1,🔟 The Terrific 10 is the new Mag 7,https://sherwood.news/snacks/newsletters/the-terrific-10-is-the-new-mag-7/,ai_semiconductor,22,2,1,31,5709
2026-07-03 00:30:36,Sherwood Snacks,2,🌀 NBCUniversal spinoff,https://sherwood.news/snacks/newsletters/nbcuniversal-spinoff/,ai_semiconductor,13,5,1,21,6000
2026-07-03 00:30:36,Sherwood Snacks,3,Black(Berry) market,https://sherwood.news/snacks/newsletters/black-berry-market/,ai_semiconductor,12,6,1,22,6000
