rule_group,rule_value,evaluated_count,success_count,failure_count,success_rate,baseline_success_rate,lift_vs_baseline,confidence_level,recommended_action,suspicious_flag,suspicious_reason,date_coverage_count
reversal_risk_penalty,high,378,198,180,52.38,42.66,9.72,high,boost,True,boost_on_semantically_risky_bucket,27
candidate_rank,missing,323,166,157,51.39,42.66,8.73,high,boost,False,,6
overextension_penalty,high,383,192,191,50.13,42.66,7.47,high,boost,True,boost_on_semantically_risky_bucket,27
score_version,legacy_or_unknown,388,194,194,50.0,42.66,7.34,high,boost,False,,7
final_price_signal_score_v2,missing,388,194,194,50.0,42.66,7.34,high,boost,False,,7
overextension_penalty,missing,388,194,194,50.0,42.66,7.34,high,boost,False,,7
reversal_risk_penalty,missing,388,194,194,50.0,42.66,7.34,high,boost,False,,7
news_risk_penalty,missing,388,194,194,50.0,42.66,7.34,high,boost,False,,7
attention_noise_penalty,missing,388,194,194,50.0,42.66,7.34,high,boost,False,,7
volume_confirmation_score,missing,388,194,194,50.0,42.66,7.34,high,boost,False,,7
liquidity_score,missing,388,194,194,50.0,42.66,7.34,high,boost,False,,7
reversal_risk_penalty,medium,563,264,299,46.89,42.66,4.23,high,boost,False,,27
selected_pick,selected,375,173,202,46.13,42.66,3.47,high,boost,False,,27
candidate_rank,top_10,223,105,118,47.09,42.66,4.43,medium,boost,False,,27
final_price_signal_score_v2,score_20_30,749,297,452,39.65,42.66,-3.01,high,penalize,False,,27
reversal_risk_penalty,low,510,196,314,38.43,42.66,-4.23,high,penalize,False,,27
reversal_risk_penalty,none,1546,592,954,38.29,42.66,-4.37,high,penalize,False,,27
volume_confirmation_score,none,730,269,461,36.85,42.66,-5.81,high,penalize,False,,27
candidate_rank,rank_51_100,344,118,226,34.3,42.66,-8.36,high,penalize,False,,16
candidate_rank,rank_21_50,210,78,132,37.14,42.66,-5.52,medium,penalize,False,,16
liquidity_score,none,154,5,149,3.25,42.66,-39.41,medium,penalize,False,,27
liquidity_score,confirmed,913,413,500,45.24,42.66,2.58,high,neutral,False,,27
volume_confirmation_score,negative,1616,705,911,43.63,42.66,0.97,high,neutral,False,,27
liquidity_score,basic,1930,832,1098,43.11,42.66,0.45,high,neutral,False,,27
final_price_signal_score_v2,score_30_40,1434,618,816,43.1,42.66,0.44,high,neutral,False,,27
candidate_rank,rank_101_plus,2133,909,1224,42.62,42.66,-0.04,high,neutral,False,,27
selected_pick,broad_pool,3010,1271,1739,42.23,42.66,-0.43,high,neutral,False,,34
score_version,v2_conservative_ranker,2997,1250,1747,41.71,42.66,-0.95,high,neutral,False,,27
attention_noise_penalty,none,2881,1200,1681,41.65,42.66,-1.01,high,neutral,False,,27
news_risk_penalty,none,2776,1152,1624,41.5,42.66,-1.16,high,neutral,False,,27
volume_confirmation_score,moderate,448,184,264,41.07,42.66,-1.59,high,neutral,False,,27
overextension_penalty,none,2386,964,1422,40.4,42.66,-2.26,high,neutral,False,,27
final_price_signal_score_v2,score_50_plus,594,240,354,40.4,42.66,-2.26,high,neutral,False,,26
news_risk_penalty,medium,89,40,49,44.94,42.66,2.28,low,neutral,False,,26
volume_confirmation_score,high,203,92,111,45.32,42.66,2.66,medium,neutral,False,,26
candidate_rank,rank_11_20,152,68,84,44.74,42.66,2.08,medium,neutral,False,,20
attention_noise_penalty,high,108,47,61,43.52,42.66,0.86,medium,neutral,False,,19
final_price_signal_score_v2,score_lt_20,200,86,114,43.0,42.66,0.34,medium,neutral,False,,27
overextension_penalty,medium,103,44,59,42.72,42.66,0.06,medium,neutral,False,,24
news_risk_penalty,high,117,49,68,41.88,42.66,-0.78,medium,neutral,False,,17
overextension_penalty,low,125,50,75,40.0,42.66,-2.66,medium,neutral,False,,24
news_risk_penalty,low,15,9,6,60.0,42.66,17.34,insufficient,watch,True,large_lift_with_under_100_cases,9
attention_noise_penalty,low,4,2,2,50.0,42.66,7.34,insufficient,watch,False,,4
final_price_signal_score_v2,score_40_50,20,9,11,45.0,42.66,2.34,insufficient,watch,False,,4
attention_noise_penalty,medium,4,1,3,25.0,42.66,-17.66,insufficient,watch,True,large_lift_with_under_100_cases,4
