stock_code,signal_date,close,return_1d,return_5d,return_20d,ma5,ma20,volume_ratio_20d,volatility_20d,breakout_score,signal_label,price_source,source_file
114450,2026-07-30,2275.0,0.046,0.0885,0.2284,2198.0,1965.75,0.6171,0.036,4,strong_price_momentum,pykrx,data/raw/price_114450_20260401_20260730.csv
236810,2026-07-30,1192.0,0.1968,0.0719,0.0856,1109.4,1047.6,6.6836,0.0683,3,price_momentum,pykrx,data/raw/price_236810_20260401_20260730.csv
121440,2026-07-30,6665.0,-0.0022,-0.0007,0.0038,6665.0,6655.75,0.5978,0.0021,3,price_momentum,pykrx,data/raw/price_121440_20260401_20260730.csv
069920,2026-07-30,1233.0,-0.0544,0.3272,0.7317,1241.8,933.85,0.3094,0.18,2,price_momentum,pykrx,data/raw/price_069920_20260401_20260730.csv
340810,2026-07-30,2980.0,0.0956,0.1418,0.204,2696.0,2448.0,1.2852,0.0459,2,price_momentum,pykrx,data/raw/price_340810_20260401_20260730.csv
018470,2026-07-30,1012.0,-0.0213,0.0732,0.008,982.0,927.0,0.9641,0.0355,2,price_momentum,pykrx,data/raw/price_018470_20260401_20260730.csv
309930,2026-07-30,831.0,-0.0048,0.0586,0.3578,827.2,825.05,0.294,0.0693,2,price_momentum,pykrx,data/raw/price_309930_20260401_20260730.csv
217730,2026-07-30,2295.0,0.1504,0.0432,-0.0357,2122.8,2322.7,1.8811,0.0774,2,price_momentum,pykrx,data/raw/price_217730_20260401_20260730.csv
199290,2026-07-30,389.0,0.0,0.0429,-0.0275,392.0,367.95,0.0,0.0976,2,price_momentum,pykrx,data/raw/price_199290_20260401_20260730.csv
008930,2026-07-30,35600.0,0.0611,0.0364,0.1615,34640.0,33110.0,0.7105,0.028,2,price_momentum,pykrx,data/raw/price_008930_20260401_20260730.csv
004780,2026-07-30,4080.0,-0.0024,0.0316,0.0475,4106.0,3953.25,0.7222,0.0145,2,price_momentum,pykrx,data/raw/price_004780_20260401_20260730.csv
024720,2026-07-30,8780.0,0.054,0.0046,0.0786,8624.0,8530.0,1.3791,0.0272,2,price_momentum,pykrx,data/raw/price_024720_20260401_20260730.csv
230360,2026-06-29,16000.0,0.0,0.0,0.0,16000.0,16000.5,0.0,0.0002,2,price_momentum,pykrx,data/raw/price_230360_20260401_20260730.csv
223220,2026-07-30,305.0,0.0,0.5327,-0.1845,271.8,310.55,0.4011,0.1214,1,neutral,pykrx,data/raw/price_223220_20260401_20260730.csv
206400,2026-07-30,839.0,-0.0024,0.1039,-0.1351,830.4,890.95,0.1248,0.0613,1,neutral,unknown,data/raw/price_206400_20260630_20260730.csv
475400,2026-07-30,18440.0,0.2995,0.0616,-0.0701,15990.0,16276.0,0.5664,0.0932,1,neutral,pykrx,data/raw/price_475400_20260401_20260730.csv
038530,2026-07-30,838.0,0.0423,0.0475,0.0012,814.8,823.9,0.6722,0.054,1,neutral,pykrx,data/raw/price_038530_20260401_20260730.csv
