stock_code,corp_name,report_nm,event_type,event_date,prediction_direction,event_score,initial_confidence,score_reason,news_count,positive_keyword_count,negative_keyword_count,news_sentiment_score,news_attention_score,top_news_titles,next_trade_date,next_open_return,next_close_return,note,prediction_result
131760,파인텍,단일판매ㆍ공급계약체결              ,supply_contract,20260724,positive,70,C,Supply contract disclosures may indicate future revenue growth.,5,12,0,12,5,"파인텍, 195억 규모 OLED 제조장비 공급…10년만 최대 규모 수주 | 파인텍 주가, 급등세... 삼성과 계약 규모는? | 파인텍, 195억 규모 OLED 제조장비 공급계약",,,,No next trading day price data available yet.,pending
009830,한화솔루션,유상증자또는주식관련사채등의청약결과(자율공시)              ,paid_in_capital_increase,20260724,negative,-70,C,Paid-in capital increases can create dilution concerns.,5,4,8,-4,5,"“실권주 우려 털었다”…한화솔루션 유상증자 청약률 102.68% | 한화솔루션, 1.2조 유상증자 구주주 청약률 102.7% | 한화솔루션, 유증 구주주 청약률 102.68%...흥행 우려 털었다",,,,No next trading day price data available yet.,pending
397030,에이프릴바이오,최대주주변경              ,major_shareholder_change,20260724,volatile,10,C,Major shareholder changes can increase volatility depending on context.,5,8,2,6,5,"TKG태광·IMM인베스트먼트, 투자금 납입 완료 | [공시] 에이프릴바이오, 아이엠엠헬스케어 제8호로 최대주주 변경 | 에이프릴바이오, 최대주주 IMM 측 SPC로 변경…경영권은 TKG휴켐스",,,,No next trading day price data available yet.,pending
