collected_at,source,rank,title,url,top_global_theme,top_global_theme_score,us_market_attention_score,macro_risk_score,korea_relevance_score,body_length
2026-07-15 23:15:50,Sherwood Snacks,1,🔵 They Big Blew It,https://sherwood.news/snacks/newsletters/they-big-blew-it/,ai_semiconductor,18,3,1,23,4276
2026-07-15 23:15:51,Sherwood Snacks,2,"☀️ Solar power. No, not that kind.",https://sherwood.news/snacks/newsletters/solar-power-no-not-that-kind/,ai_semiconductor,13,2,2,25,5072
2026-07-15 23:15:51,Sherwood Snacks,3,⚽ Football vs. football 🏈,https://sherwood.news/snacks/newsletters/football-vs-football/,ai_semiconductor,19,3,1,24,6000
