stock_code,candidate_date,candidate_pool_date,signal_date,prediction_date,candidate_action,prediction_direction,prediction_score,final_price_signal_score,price_candidate_score,price_signal_score_v1,price_score_base,supplementary_score,base_momentum_score,volume_confirmation_score,liquidity_score,volatility_penalty,overextension_penalty,reversal_risk_penalty,news_risk_penalty,attention_noise_penalty,market_regime_penalty,healthy_context_score,final_price_signal_score_v2,score_version,v3_momentum_quality_score,v3_volume_quality_score,v3_liquidity_quality_score,v3_stability_score,v3_overextension_penalty,v3_reversal_penalty,v3_noise_penalty,v3_final_score,final_price_signal_score_v3,experimental_score_version,signal_label,close,return_1d,return_5d,return_20d,ma5,ma20,volume_ratio_20d,volatility_20d,price_source,corp_name,stock_name,event_type,social_attention_label,social_risk_label,news_risk_score,news_negative_keyword_count,news_risk_keyword_count,source_file,candidate_rank,selected_pick,selection_reason,v3_rank,v3_selected_pick,v3_selection_reason
018470,2026-08-28,2026-08-28,2026-08-28,2026-08-28,HOLD,neutral,41.19,41.19,41.19,40.04,40.04,0,43.68,0.0,0,2.5,0.0,0.0,0.0,0.0,0,0,41.19,v2_conservative_ranker,38.0,-5.0,0,13.88,0.0,0.0,0.0,46.88,46.88,v3_stability_ranker,neutral,973.0,0.0,0.0,-0.0376,973.0,1010.55,0.0,0.0208,pykrx,,,,,,,,,data/raw/price_018470_20260430_20260828.csv,248,False,Broad evaluation pool candidate,193,False,Broad evaluation pool candidate
001740,2026-08-28,2026-08-28,2026-08-28,2026-08-28,HOLD,neutral,40.93,40.93,40.93,44.92,44.92,0,44.24,0.0,2,5.32,0.0,0.0,0.0,0.0,0,0,40.93,v2_conservative_ranker,44.0,2.0,6,10.36,0.0,0.0,0.0,62.36,62.36,v3_stability_ranker,neutral,6675.0,-0.027,-0.0198,0.0349,6803.0,7368.75,0.9307,0.0443,pykrx,,,,,,,,,data/raw/price_001740_20260430_20260828.csv,249,False,Broad evaluation pool candidate,75,False,Broad evaluation pool candidate
179530,2026-08-28,2026-08-28,2026-08-28,2026-08-28,HOLD,neutral,40.83,40.83,40.83,57.26,57.26,0,52.46,0.0,2,8.81,1.49,1.34,3.0,0.0,0,1,40.83,v2_conservative_ranker,34.8,2.0,1,1.99,5.15,4.54,4.5,25.59,25.59,v3_stability_ranker,neutral,2495.0,-0.0531,-0.0254,0.383,2501.0,2273.8,0.8574,0.0734,pykrx,,,,,,3,1,1,data/raw/price_179530_20260430_20260828.csv,250,False,Broad evaluation pool candidate,279,False,Broad evaluation pool candidate
419540,2026-08-28,2026-08-28,2026-08-28,2026-08-28,HOLD,neutral,40.83,40.83,40.83,52.13,52.13,0,47.0,-2.0,2,5.52,0.65,0.0,0.0,0.0,0,0,40.83,v2_conservative_ranker,28.51,-3.0,1,10.1,4.22,0.16,0.0,32.22,32.22,v3_stability_ranker,neutral,3425.0,0.0379,-0.0867,0.3645,3261.0,3229.0,0.5673,0.046,pykrx,,,,,,,,,data/raw/price_419540_20260430_20260828.csv,251,False,Broad evaluation pool candidate,264,False,Broad evaluation pool candidate
018700,2026-08-28,2026-08-28,2026-08-28,2026-08-28,HOLD,neutral,40.81,40.81,40.81,43.46,43.46,0,42.91,-2.0,2,2.1,0.0,0.0,0.0,0.0,0,0,40.81,v2_conservative_ranker,40.86,-3.0,1,14.38,0.0,0.0,0.0,53.23,53.23,v3_stability_ranker,neutral,1418.0,-0.0077,-0.0393,0.0527,1443.6,1449.8,0.4173,0.0175,pykrx,,,,,,,,,data/raw/price_018700_20260430_20260828.csv,252,False,Broad evaluation pool candidate,129,False,Broad evaluation pool candidate
073190,2026-08-28,2026-08-28,2026-08-28,2026-08-28,HOLD,neutral,40.71,40.71,40.71,56.76,56.76,0,55.0,0.0,0,6.29,8.0,0.0,0.0,0.0,0,0,40.71,v2_conservative_ranker,32.5,-5.0,0,9.14,10.0,1.18,0.0,25.46,25.46,v3_stability_ranker,neutral,1622.0,0.0,0.0,0.6722,1622.0,1499.45,0.0,0.0524,pykrx,,,,,,,,,data/raw/price_073190_20260430_20260828.csv,253,False,Broad evaluation pool candidate,282,False,Broad evaluation pool candidate
290720,2026-08-28,2026-08-28,2026-08-28,2026-08-28,HOLD,neutral,40.59,40.59,40.59,43.91,43.91,0,41.93,0.0,3,4.34,0.0,0.0,0.0,0.0,0,0,40.59,v2_conservative_ranker,35.54,8.0,6,11.57,0.0,0.0,0.0,61.11,61.11,v3_stability_ranker,neutral,2840.0,-0.0105,-0.0307,0.0,2859.0,3001.0,1.0992,0.0362,pykrx,,,,,,,,,data/raw/price_290720_20260430_20260828.csv,254,False,Broad evaluation pool candidate,77,False,Broad evaluation pool candidate
004710,2026-08-28,2026-08-28,2026-08-28,2026-08-28,HOLD,neutral,40.29,40.29,40.29,48.14,48.14,0,49.25,-2.0,2,8.16,0.0,0.8,0.0,0.0,0,0,40.29,v2_conservative_ranker,44.0,-3.0,1,6.8,0.0,3.68,0.0,45.12,45.12,v3_stability_ranker,neutral,6740.0,-0.0246,-0.0175,0.195,6858.0,7326.5,0.4908,0.068,pykrx,,,,,,,,,data/raw/price_004710_20260430_20260828.csv,255,False,Broad evaluation pool candidate,203,False,Broad evaluation pool candidate
128940,2026-08-28,2026-08-28,2026-08-28,2026-08-28,HOLD,neutral,40.22,40.22,40.22,82.25,82.25,0,67.0,-2.0,2,9.05,16.19,1.54,0.0,0.0,0,0,40.22,v2_conservative_ranker,29.94,-3.0,1,2.69,28.89,4.86,0.0,0.0,0.0,v3_stability_ranker,price_momentum,512000.0,0.0159,0.2323,0.6437,517400.0,420800.0,0.798,0.0754,pykrx,,,,,,,,,data/raw/price_128940_20260430_20260828.csv,256,False,Broad evaluation pool candidate,316,False,Broad evaluation pool candidate
089140,2026-08-28,2026-08-28,2026-08-28,2026-08-28,HOLD,neutral,40.03,40.03,40.03,44.5,44.5,0,44.2,-2.0,2,4.16,0.0,0.0,0.0,0.0,0,0,40.03,v2_conservative_ranker,44.0,-3.0,1,11.79,0.0,0.0,0.0,53.8,53.8,v3_stability_ranker,neutral,2085.0,-0.0095,-0.0211,0.0373,2107.0,2254.5,0.7018,0.0347,pykrx,,,,,,,,,data/raw/price_089140_20260430_20260828.csv,257,False,Broad evaluation pool candidate,125,False,Broad evaluation pool candidate
