source_provider,query,status,item_count,error_message,updated_at
google_news_rss,114450,success,5,,2026-07-28 23:19:29
google_news_rss,대륙제관,success,5,,2026-07-28 23:19:29
google_news_rss,018470,success,5,,2026-07-28 23:19:29
google_news_rss,006060,success,5,,2026-07-28 23:19:30
google_news_rss,024720,success,5,,2026-07-28 23:19:30
google_news_rss,176750,success,5,,2026-07-28 23:19:30
google_news_rss,236810,success,5,,2026-07-28 23:19:30
google_news_rss,340570,success,5,,2026-07-28 23:19:31
google_news_rss,008930,success,5,,2026-07-28 23:19:31
google_news_rss,053580,success,5,,2026-07-28 23:19:31
google_news_rss,시선AI,success,5,,2026-07-28 23:19:32
google_news_rss,008470,success,5,,2026-07-28 23:19:32
google_news_rss,290270,success,5,,2026-07-28 23:19:32
google_news_rss,290720,success,5,,2026-07-28 23:19:33
google_news_rss,018260,success,5,,2026-07-28 23:19:33
google_news_rss,159910,success,5,,2026-07-28 23:19:33
google_news_rss,005710,success,5,,2026-07-28 23:19:33
google_news_rss,215380,success,5,,2026-07-28 23:19:34
google_news_rss,309930,success,5,,2026-07-28 23:19:34
google_news_rss,009540,success,5,,2026-07-28 23:19:35
