collected_at,source,rank,title,url,top_global_theme,top_global_theme_score,us_market_attention_score,macro_risk_score,korea_relevance_score,body_length
2026-07-16 23:14:12,Sherwood Snacks,1,✴️ claude how do i write an ipo,https://sherwood.news/snacks/newsletters/claude-how-do-i-write-an-ipo/,ai_semiconductor,34,0,0,35,4199
2026-07-16 23:14:12,Sherwood Snacks,2,🔵 They Big Blew It,https://sherwood.news/snacks/newsletters/they-big-blew-it/,ai_semiconductor,18,3,1,23,4276
2026-07-16 23:14:13,Sherwood Snacks,3,"☀️ Solar power. No, not that kind.",https://sherwood.news/snacks/newsletters/solar-power-no-not-that-kind/,ai_semiconductor,13,2,2,25,5072
