source_provider,query,status,provider_status,item_count,error_message,updated_at
deepsearch_news,012630,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-29 13:19:49
google_news_rss,012630,success,success,5,,2026-08-29 13:19:50
gdelt,012630,failed,failed,0,<urlopen error _ssl.c:999: The handshake operation timed out>,2026-08-29 13:20:00
naver_search,012630,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-29 13:20:00
deepsearch_news,020560,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-29 13:20:00
google_news_rss,020560,success,success,5,,2026-08-29 13:20:01
gdelt,020560,failed,failed,0,<urlopen error timed out>,2026-08-29 13:20:07
naver_search,020560,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-29 13:20:07
deepsearch_news,한신공영,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-29 13:20:07
google_news_rss,한신공영,success,success,5,,2026-08-29 13:20:08
gdelt,한신공영,failed,failed,0,<urlopen error _ssl.c:999: The handshake operation timed out>,2026-08-29 13:20:16
naver_search,한신공영,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-29 13:20:16
deepsearch_news,023760,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-29 13:20:16
google_news_rss,023760,success,success,5,,2026-08-29 13:20:16
gdelt,023760,skipped_after_repeated_failures,skipped_after_repeated_failures,0,Provider disabled for this run after repeated failures.,2026-08-29 13:20:16
naver_search,023760,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-29 13:20:16
deepsearch_news,태영건설,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-29 13:20:16
google_news_rss,태영건설,success,success,5,,2026-08-29 13:20:17
gdelt,태영건설,skipped_after_repeated_failures,skipped_after_repeated_failures,0,Provider disabled for this run after repeated failures.,2026-08-29 13:20:17
naver_search,태영건설,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-29 13:20:17
deepsearch_news,017810,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-29 13:20:17
google_news_rss,017810,success,success,5,,2026-08-29 13:20:17
gdelt,017810,skipped_after_repeated_failures,skipped_after_repeated_failures,0,Provider disabled for this run after repeated failures.,2026-08-29 13:20:17
naver_search,017810,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-29 13:20:17
deepsearch_news,029460,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-29 13:20:17
google_news_rss,029460,success,success,5,,2026-08-29 13:20:17
gdelt,029460,skipped_after_repeated_failures,skipped_after_repeated_failures,0,Provider disabled for this run after repeated failures.,2026-08-29 13:20:17
naver_search,029460,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-29 13:20:17
deepsearch_news,003490,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-29 13:20:17
google_news_rss,003490,success,success,5,,2026-08-29 13:20:18
gdelt,003490,skipped_after_repeated_failures,skipped_after_repeated_failures,0,Provider disabled for this run after repeated failures.,2026-08-29 13:20:18
naver_search,003490,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-29 13:20:18
deepsearch_news,한화엔진,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-29 13:20:18
google_news_rss,한화엔진,success,success,5,,2026-08-29 13:20:19
gdelt,한화엔진,skipped_after_repeated_failures,skipped_after_repeated_failures,0,Provider disabled for this run after repeated failures.,2026-08-29 13:20:19
naver_search,한화엔진,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-29 13:20:19
deepsearch_news,024720,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-29 13:20:19
google_news_rss,024720,success,success,5,,2026-08-29 13:20:19
gdelt,024720,skipped_after_repeated_failures,skipped_after_repeated_failures,0,Provider disabled for this run after repeated failures.,2026-08-29 13:20:19
naver_search,024720,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-29 13:20:19
deepsearch_news,203650,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-29 13:20:19
