event_type,total_count,success_count,failure_count,pending_count,evaluated_count,success_rate,failure_rate,pending_rate,raw_learned_adjustment,confidence_multiplier,learned_event_score_adjustment,learning_label,learning_reason,minimum_required_evaluated_count,market_adjusted_success_count,market_adjusted_failure_count,market_adjusted_pending_count,market_adjusted_evaluated_count,market_adjusted_success_rate,social_rows,high_attention_count,rumor_noise_count,risk_noise_count,avg_social_attention_score,avg_rumor_noise_score,avg_risk_noise_score
paid_in_capital_increase,600,224,120,256,344,0.6512,0.3488,0.4267,10,1.0,10.0,positive_learning,성공률이 높아 해당 이벤트 유형 점수를 상향합니다.,5,0,0,249,0,0,28.0,0.0,0.0,28.0,4.21,0.0,4.07
major_shareholder_change,706,59,227,420,286,0.2063,0.7937,0.5949,-15,1.0,-15.0,strong_negative_learning,성공률이 매우 낮아 해당 이벤트 유형 점수를 강하게 하향합니다.,5,0,0,415,0,0,13.0,1.0,0.0,2.0,6.58,0.0,0.69
supply_contract,484,40,201,243,241,0.166,0.834,0.5021,-15,1.0,-15.0,strong_negative_learning,성공률이 매우 낮아 해당 이벤트 유형 점수를 강하게 하향합니다.,5,0,0,234,0,0,15.0,1.0,0.0,3.0,8.57,0.0,0.6
convertible_bond,407,113,47,247,160,0.7063,0.2938,0.6069,10,1.0,10.0,positive_learning,성공률이 높아 해당 이벤트 유형 점수를 상향합니다.,5,0,0,237,0,0,3.0,0.0,0.0,3.0,3.5,0.0,3.0
lawsuit,134,36,7,91,43,0.8372,0.1628,0.6791,15,1.0,15.0,strong_positive_learning,성공률이 매우 높아 해당 이벤트 유형 점수를 강하게 상향합니다.,5,0,0,88,0,0,7.0,1.0,0.0,7.0,5.79,0.0,3.86
bonus_issue,41,12,26,3,38,0.3158,0.6842,0.0732,-10,1.0,-10.0,negative_learning,성공률이 낮아 해당 이벤트 유형 점수를 하향합니다.,5,0,0,3,0,0,7.0,0.0,0.0,4.0,6.07,0.0,2.57
investment_decision,126,19,15,92,34,0.5588,0.4412,0.7302,5,1.0,5.0,mild_positive_learning,성공률이 기준보다 약간 높아 소폭 상향합니다.,5,0,0,88,0,0,7.0,1.0,0.0,0.0,8.36,0.0,0.0
merger,89,2,26,61,28,0.0714,0.9286,0.6854,-15,0.75,-11.25,strong_negative_learning,성공률이 매우 낮아 해당 이벤트 유형 점수를 강하게 하향합니다.,5,0,0,61,0,0,1.0,0.0,0.0,0.0,7.5,0.0,0.0
bond_with_warrant,26,1,15,10,16,0.0625,0.9375,0.3846,-15,0.75,-11.25,strong_negative_learning,성공률이 매우 낮아 해당 이벤트 유형 점수를 강하게 하향합니다.,5,0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spin_off,27,3,5,19,8,0.375,0.625,0.7037,-5,0.5,-2.5,mild_negative_learning,성공률이 낮아 해당 이벤트 유형 점수를 소폭 하향합니다.,5,0,0,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disclosure_violation,55,1,6,48,7,0.1429,0.8571,0.8727,-15,0.5,-7.5,strong_negative_learning,성공률이 매우 낮아 해당 이벤트 유형 점수를 강하게 하향합니다.,5,0,0,43,0,0,1.0,0.0,0.0,1.0,6.5,0.0,3.0
earnings_guidance,4,0,0,4,0,0.0,0.0,1.0,0,0.0,0.0,hold_insufficient_data,평가 완료 데이터가 부족하여 자동 조정을 보류합니다.,5,0,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
