stock_code,signal_date,close,return_1d,return_5d,return_20d,ma5,ma20,volume_ratio_20d,volatility_20d,breakout_score,signal_label,price_source,source_file
119850,2026-07-15,32250.0,0.075,0.2262,0.3244,28610.0,24991.5,1.5161,0.0818,5,strong_price_momentum,pykrx,data/raw/price_119850_20260317_20260715.csv
465770,2026-07-15,3740.0,0.1333,0.7725,0.3981,2687.2,2213.3,17.0144,0.1165,3,price_momentum,pykrx,data/raw/price_465770_20260317_20260715.csv
291230,2026-07-15,683.0,0.0841,0.7204,0.3135,526.8,447.15,3.7535,0.0859,3,price_momentum,unknown,data/raw/price_291230_20260615_20260715.csv
065770,2026-07-15,1970.0,-0.0574,0.1394,0.1733,1799.2,1609.15,2.3192,0.1236,3,price_momentum,pykrx,data/raw/price_065770_20260317_20260715.csv
127120,2026-07-15,40250.0,0.0893,0.1027,0.15,38090.0,36295.0,1.8995,0.052,3,price_momentum,unknown,data/raw/price_127120_20260615_20260715.csv
356860,2026-07-15,87500.0,0.2036,0.3801,-0.0489,75680.0,76950.0,1.8565,0.077,2,price_momentum,unknown,data/raw/price_356860_20260615_20260715.csv
318060,2026-07-15,20450.0,0.1175,0.0746,-0.1109,18424.0,17718.5,1.2539,0.0703,2,price_momentum,pykrx,data/raw/price_318060_20260317_20260715.csv
000760,2026-07-15,12250.0,-0.0129,0.047,-0.0324,12754.0,11901.5,1.3989,0.0503,2,price_momentum,pykrx,data/raw/price_000760_20260317_20260715.csv
020710,2026-07-15,3680.0,-0.0174,0.0455,-0.0528,3636.0,3558.75,1.1594,0.0332,2,price_momentum,pykrx,data/raw/price_020710_20260317_20260715.csv
012160,2026-07-15,2170.0,0.0408,0.0188,0.1543,2012.0,1798.45,0.601,0.0844,2,price_momentum,pykrx,data/raw/price_012160_20260317_20260715.csv
134790,2026-07-15,19110.0,0.0047,0.0138,-0.0016,19268.0,18385.0,0.7125,0.0312,2,price_momentum,unknown,data/raw/price_134790_20260615_20260715.csv
013520,2026-07-15,2560.0,0.0343,0.0119,-0.0248,2550.0,2519.0,0.2892,0.0297,2,price_momentum,pykrx,data/raw/price_013520_20260317_20260715.csv
088790,2026-07-15,2470.0,0.0102,0.0082,-0.0256,2492.0,2385.25,0.7916,0.035,2,price_momentum,pykrx,data/raw/price_088790_20260317_20260715.csv
058730,2026-07-15,5220.0,0.1891,0.0038,0.871,4873.0,4006.25,1.2796,0.1575,2,price_momentum,pykrx,data/raw/price_058730_20260317_20260715.csv
290720,2026-07-15,3110.0,0.0,0.0016,0.013,3144.0,2766.75,0.5776,0.0654,2,price_momentum,pykrx,data/raw/price_290720_20260317_20260715.csv
263800,2026-07-15,5930.0,0.044,-0.0017,0.2891,6552.0,5127.0,1.5258,0.11,2,price_momentum,pykrx,data/raw/price_263800_20260317_20260715.csv
419540,2026-07-15,3305.0,0.0542,-0.003,0.0015,3192.0,3182.75,2.4404,0.0405,2,price_momentum,pykrx,data/raw/price_419540_20260317_20260715.csv
004710,2026-07-15,10340.0,0.2368,0.2579,-0.3259,8916.0,10605.0,1.2618,0.0992,1,neutral,pykrx,data/raw/price_004710_20260317_20260715.csv
322780,2026-07-15,1997.0,-0.0015,0.1915,-0.086,1902.8,1910.8,0.5565,0.1746,1,neutral,pykrx,data/raw/price_322780_20260317_20260715.csv
109070,2026-07-15,1510.0,0.0399,0.1615,-0.058,1506.6,1554.8,0.3627,0.0775,1,neutral,pykrx,data/raw/price_109070_20260317_20260715.csv
187870,2026-07-15,14510.0,0.1398,0.1389,-0.3359,13510.0,14919.5,0.6891,0.0694,1,neutral,pykrx,data/raw/price_187870_20260317_20260715.csv
468530,2026-07-15,26200.0,0.167,0.1269,-0.3105,24320.0,27475.0,1.2612,0.0916,1,neutral,pykrx,data/raw/price_468530_20260317_20260715.csv
084180,2026-07-15,484.0,0.1776,0.1256,-0.2231,407.2,479.35,1.2092,0.1087,1,neutral,pykrx,data/raw/price_084180_20260317_20260715.csv
463480,2026-07-15,4500.0,0.0465,0.0962,-0.2241,4368.0,4559.75,0.5881,0.0531,1,neutral,unknown,data/raw/price_463480_20260615_20260715.csv
347700,2026-07-15,20500.0,0.025,0.0933,-0.3167,20156.0,21883.0,0.4533,0.1138,1,neutral,pykrx,data/raw/price_347700_20260317_20260715.csv
040910,2026-07-15,4000.0,0.0471,0.087,-0.1658,3914.0,4068.75,0.3683,0.0411,1,neutral,pykrx,data/raw/price_040910_20260317_20260715.csv
043260,2026-07-15,20100.0,0.0912,0.0754,-0.5293,19916.0,26288.5,0.6418,0.0897,1,neutral,pykrx,data/raw/price_043260_20260317_20260715.csv
378800,2026-07-15,538.0,0.0528,0.0696,-0.5797,529.6,705.6,0.1914,0.1137,1,neutral,pykrx,data/raw/price_378800_20260317_20260715.csv
298040,2026-07-15,2868000.0,0.0713,0.0666,-0.256,2781000.0,3226600.0,0.822,0.0572,1,neutral,unknown,data/raw/price_298040_20260615_20260715.csv
