stock_code,candidate_date,candidate_pool_date,signal_date,prediction_date,candidate_action,prediction_direction,prediction_score,final_price_signal_score,price_candidate_score,price_signal_score_v1,price_score_base,supplementary_score,base_momentum_score,volume_confirmation_score,liquidity_score,volatility_penalty,overextension_penalty,reversal_risk_penalty,news_risk_penalty,attention_noise_penalty,market_regime_penalty,healthy_context_score,final_price_signal_score_v2,score_version,signal_label,close,return_1d,return_5d,return_20d,ma5,ma20,volume_ratio_20d,volatility_20d,price_source,corp_name,stock_name,event_type,social_attention_label,social_risk_label,news_risk_score,news_negative_keyword_count,news_risk_keyword_count,source_file,candidate_rank,selected_pick,selection_reason
038530,2026-07-31,2026-07-31,2026-07-31,2026-08-02,WATCHLIST,neutral_positive,69.04,69.04,69.04,85.26,85.26,0,68.25,3.45,3,6.66,0.0,0.0,2.0,0.0,0,3,69.04,v2_conservative_ranker,price_momentum,895.0,0.0592,0.0796,0.0941,829.4,828.1,1.6901,0.0555,pykrx,,,,,,2,2,0,data/raw/price_038530_20260404_20260802.csv,1,True,Top 20 by conservative v2 price signal score
236810,2026-07-31,2026-07-31,2026-07-31,2026-08-02,WATCHLIST,neutral_positive,68.19,68.19,68.19,96.48,96.48,0,71.0,4.12,3,8.44,0.47,1.03,0.0,0.0,0,0,68.19,v2_conservative_ranker,price_momentum,1227.0,0.0033,0.1457,0.2101,1146.8,1059.8,1.8237,0.0703,pykrx,,,,,,,,,data/raw/price_236810_20260404_20260802.csv,2,True,Top 20 by conservative v2 price signal score
009540,2026-07-31,2026-07-31,2026-07-31,2026-08-02,WATCHLIST,neutral_positive,67.41,67.41,67.41,84.37,84.37,0,66.48,0.53,3,5.6,0.0,0.0,0.0,0.0,0,3,67.41,v2_conservative_ranker,strong_price_momentum,384500.0,0.0434,0.0336,0.0607,364100.0,352775.0,1.1068,0.0467,pykrx,,,,,,,,,data/raw/price_009540_20260404_20260802.csv,3,True,Top 20 by conservative v2 price signal score
115530,2026-07-31,2026-07-31,2026-07-31,2026-08-02,WATCHLIST,neutral_positive,67.01,67.01,67.01,103.34,103.34,0,70.3,3.0,3,6.29,0.0,2.01,1.0,0.0,0,0,67.01,v2_conservative_ranker,price_momentum,2090.0,0.0609,0.1534,0.1515,1877.6,1840.35,3.4116,0.0524,pykrx,,,,,,1,1,0,data/raw/price_115530_20260404_20260802.csv,4,True,Top 20 by conservative v2 price signal score
018470,2026-07-31,2026-07-31,2026-07-31,2026-08-02,WATCHLIST,neutral_positive,65.81,65.81,65.81,88.19,88.19,0,66.62,1.82,3,3.64,0.0,0.0,2.0,0.0,0,0,65.81,v2_conservative_ranker,price_momentum,1062.0,0.0504,0.1619,0.1607,1011.4,934.3,1.3634,0.0303,pykrx,,,,,,2,2,0,data/raw/price_018470_20260404_20260802.csv,5,True,Top 20 by conservative v2 price signal score
028100,2026-07-31,2026-07-31,2026-07-31,2026-08-02,WATCHLIST,neutral_positive,64.99,64.99,64.99,75.4,72.4,3,61.25,1.3,3,4.55,0.0,0.0,0.0,0.0,0,4,64.99,v2_conservative_ranker,price_momentum,17400.0,0.0382,0.0734,0.0259,16764.0,15965.0,1.2591,0.0379,pykrx,동아지질,동아지질,supply_contract,medium_attention,no_risk_noise,,,,data/raw/price_028100_20260404_20260802.csv,6,True,Top 20 by conservative v2 price signal score
332290,2026-07-31,2026-07-31,2026-07-31,2026-08-02,WATCHLIST,neutral_positive,63.65,63.65,63.65,76.55,76.55,0,64.11,0.65,3,5.11,0.0,0.0,2.0,0.0,0,3,63.65,v2_conservative_ranker,price_momentum,881.0,0.0034,0.0958,0.089,812.2,796.2,1.1299,0.0426,pykrx,,,,,,2,2,0,data/raw/price_332290_20260404_20260802.csv,7,True,Top 20 by conservative v2 price signal score
114450,2026-07-31,2026-07-31,2026-07-31,2026-08-02,WATCHLIST,neutral_positive,63.17,63.17,63.17,82.91,82.91,0,63.85,3.09,3,4.76,0.0,0.0,2.0,0.0,0,0,63.17,v2_conservative_ranker,price_momentum,2125.0,-0.0659,0.0143,0.1549,2204.0,1980.0,1.6171,0.0397,pykrx,,,,,,2,2,0,data/raw/price_114450_20260404_20260802.csv,8,True,Top 20 by conservative v2 price signal score
005710,2026-07-31,2026-07-31,2026-07-31,2026-08-02,WATCHLIST,neutral_positive,62.49,62.49,62.49,82.93,82.93,0,66.36,-2.0,2,2.87,0.0,0.0,1.0,0.0,0,0,62.49,v2_conservative_ranker,strong_price_momentum,11270.0,0.0562,0.0349,0.0533,10870.0,10615.5,0.5271,0.0239,pykrx,,,,,,1,1,0,data/raw/price_005710_20260404_20260802.csv,9,True,Top 20 by conservative v2 price signal score
007570,2026-07-31,2026-07-31,2026-07-31,2026-08-02,WATCHLIST,neutral_positive,61.8,61.8,61.8,70.14,70.14,0,56.87,1.65,3,2.72,0.0,0.0,0.0,0.0,0,3,61.8,v2_conservative_ranker,price_momentum,8380.0,0.0308,0.0257,0.0371,8304.0,8246.5,1.3303,0.0227,pykrx,일양약품,일양약품,major_shareholder_change,low_attention,no_risk_noise,,,,data/raw/price_007570_20260404_20260802.csv,10,True,Top 20 by conservative v2 price signal score
036530,2026-07-31,2026-07-31,2026-07-31,2026-08-02,WATCHLIST,neutral_positive,61.36,61.36,61.36,73.66,73.66,0,55.19,6.57,3,3.4,0.0,0.0,0.0,0.0,0,0,61.36,v2_conservative_ranker,price_momentum,49950.0,0.0,0.0122,0.0278,48880.0,49955.0,2.3136,0.0283,pykrx,,,,,,,,,data/raw/price_036530_20260404_20260802.csv,11,True,Top 20 by conservative v2 price signal score
024720,2026-07-31,2026-07-31,2026-07-31,2026-08-02,WATCHLIST,neutral_positive,60.91,60.91,60.91,85.27,85.27,0,67.11,-2.0,2,3.19,0.0,0.0,3.0,0.0,0,0,60.91,v2_conservative_ranker,strong_price_momentum,8960.0,0.0311,0.0346,0.0756,8666.0,8557.0,0.7823,0.0266,pykrx,,,,,,3,3,0,data/raw/price_024720_20260404_20260802.csv,12,True,Top 20 by conservative v2 price signal score
000760,2026-07-31,2026-07-31,2026-07-31,2026-08-02,WATCHLIST,neutral_positive,60.2,60.2,60.2,90.97,90.97,0,74.98,-2.0,2,6.78,8.0,0.0,0.0,0.0,0,0,60.2,v2_conservative_ranker,strong_price_momentum,13700.0,0.1522,0.0978,0.1709,12342.0,12276.0,0.3829,0.0565,pykrx,,,,,,,,,data/raw/price_000760_20260404_20260802.csv,13,True,Top 20 by conservative v2 price signal score
121440,2026-07-31,2026-07-31,2026-07-31,2026-08-02,HOLD,neutral,59.12,59.12,59.12,79.75,79.75,0,61.36,-2.0,2,0.24,0.0,0.0,2.0,0.0,0,0,59.12,v2_conservative_ranker,strong_price_momentum,6670.0,-0.0015,0.0015,0.006,6670.0,6658.5,0.5828,0.002,pykrx,,,,,,2,2,0,data/raw/price_121440_20260404_20260802.csv,14,True,Top 20 by conservative v2 price signal score
099750,2026-07-31,2026-07-31,2026-07-31,2026-08-02,HOLD,neutral,58.06,58.06,58.06,72.01,69.01,3,54.83,2.85,3,3.62,0.0,0.0,0.0,0.0,0,1,58.06,v2_conservative_ranker,price_momentum,6650.0,0.0407,0.0,0.0522,6534.0,6318.5,1.5706,0.0302,pykrx,이지케어텍,이지케어텍,supply_contract,medium_attention,no_risk_noise,,,,data/raw/price_099750_20260404_20260802.csv,15,True,Top 20 by conservative v2 price signal score
084870,2026-07-31,2026-07-31,2026-07-31,2026-08-02,HOLD,neutral,57.14,57.14,57.14,85.36,85.36,0,62.58,0.0,3,3.96,0.0,3.48,2.0,0.0,0,1,57.14,v2_conservative_ranker,price_momentum,2030.0,0.0684,0.0707,0.0718,1899.6,1930.35,4.0839,0.033,pykrx,,,,,,2,2,0,data/raw/price_084870_20260404_20260802.csv,16,True,Top 20 by conservative v2 price signal score
008930,2026-07-31,2026-07-31,2026-07-31,2026-08-02,HOLD,neutral,56.59,56.59,56.59,72.21,72.21,0,61.76,-2.0,2,3.17,0.0,0.0,2.0,0.0,0,0,56.59,v2_conservative_ranker,price_momentum,35850.0,0.0317,0.0361,0.1472,34720.0,33297.5,0.6464,0.0264,pykrx,,,,,,2,2,0,data/raw/price_008930_20260404_20260802.csv,17,True,Top 20 by conservative v2 price signal score
134790,2026-07-31,2026-07-31,2026-07-31,2026-08-02,HOLD,neutral,56.39,56.39,56.39,67.12,67.12,0,54.63,0.62,3,1.86,0.0,0.0,0.0,0.0,0,0,56.39,v2_conservative_ranker,price_momentum,19490.0,0.0258,0.0093,0.0199,19334.0,19263.0,1.1248,0.0155,pykrx,,,,,,,,,data/raw/price_134790_20260404_20260802.csv,18,True,Top 20 by conservative v2 price signal score
115480,2026-07-31,2026-07-31,2026-07-31,2026-08-02,HOLD,neutral,56.39,56.39,56.39,66.8,66.8,0,51.3,4.39,3,2.3,0.0,0.0,0.0,0.0,0,0,56.39,v2_conservative_ranker,price_momentum,1783.0,0.0457,0.0028,-0.0566,1747.8,1785.4,1.879,0.0192,pykrx,,,,,,,,,data/raw/price_115480_20260404_20260802.csv,19,True,Top 20 by conservative v2 price signal score
475400,2026-07-31,2026-07-31,2026-07-31,2026-08-02,HOLD,neutral,56.11,56.11,56.11,95.44,95.44,0,66.71,0.0,3,10.0,0.59,3.01,0.0,0.0,0,0,56.11,v2_conservative_ranker,price_momentum,18690.0,0.0136,0.1874,0.0488,16580.0,16319.5,10.5438,0.0901,pykrx,,,,,,,,,data/raw/price_475400_20260404_20260802.csv,20,True,Top 20 by conservative v2 price signal score
216080,2026-07-31,2026-07-31,2026-07-31,2026-08-02,HOLD,neutral,56.06,56.06,56.06,60.59,60.59,0,49.26,4.52,3,3.72,0.0,0.0,0.0,0.0,0,3,56.06,v2_conservative_ranker,price_momentum,4295.0,0.0263,0.0226,-0.2344,4220.0,4533.75,1.9046,0.031,pykrx,,,,,,,,,data/raw/price_216080_20260404_20260802.csv,21,False,Broad evaluation pool candidate
