stock_code,signal_date,close,return_1d,return_5d,return_20d,ma5,ma20,volume_ratio_20d,volatility_20d,breakout_score,signal_label,price_source,source_file
340570,2026-08-04,63500.0,0.1005,0.1101,0.2049,57100.0,54410.0,3.0762,0.0482,5,strong_price_momentum,pykrx,data/raw/price_340570_20260406_20260804.csv
115530,2026-08-04,2220.0,0.0472,0.2862,0.2019,2036.8,1871.7,0.5973,0.0528,4,strong_price_momentum,pykrx,data/raw/price_115530_20260406_20260804.csv
008930,2026-08-04,39200.0,0.0874,0.1546,0.2444,35880.0,33895.0,1.3485,0.0316,4,strong_price_momentum,pykrx,data/raw/price_008930_20260406_20260804.csv
297890,2026-08-04,1778.0,0.0711,0.1253,0.0527,1577.2,1631.65,1.6408,0.0554,4,strong_price_momentum,pykrx,data/raw/price_297890_20260406_20260804.csv
024720,2026-08-04,9330.0,0.0219,0.0951,0.0836,8888.0,8618.5,1.0411,0.0261,4,strong_price_momentum,pykrx,data/raw/price_024720_20260406_20260804.csv
005710,2026-08-04,11540.0,0.0158,0.0665,0.0949,11108.0,10699.0,1.4661,0.0237,4,strong_price_momentum,pykrx,data/raw/price_005710_20260406_20260804.csv
028100,2026-08-04,17540.0,0.0092,0.0592,0.0192,17102.0,15990.5,0.4958,0.0378,4,strong_price_momentum,pykrx,data/raw/price_028100_20260406_20260804.csv
006060,2026-08-04,2525.0,0.0243,0.0455,0.037,2437.0,2424.5,0.516,0.0185,4,strong_price_momentum,pykrx,data/raw/price_006060_20260406_20260804.csv
114450,2026-08-04,2330.0,0.0688,0.0402,0.25,2217.0,2017.4,1.0408,0.0413,4,strong_price_momentum,pykrx,data/raw/price_114450_20260406_20260804.csv
119850,2026-08-04,51200.0,0.219,0.6,0.7268,37630.0,34295.0,3.3629,0.1233,3,price_momentum,pykrx,data/raw/price_119850_20260406_20260804.csv
069640,2026-08-04,1414.0,0.1496,0.3931,0.6596,1158.4,1008.3,3.2024,0.0465,3,price_momentum,unknown,data/raw/price_069640_20260705_20260804.csv
475400,2026-08-04,20550.0,0.0301,0.3555,0.1756,18364.0,16576.5,1.5058,0.091,3,price_momentum,pykrx,data/raw/price_475400_20260406_20260804.csv
078590,2026-08-04,3485.0,0.1521,0.2038,0.6097,2716.0,2510.15,5.0487,0.138,3,price_momentum,unknown,data/raw/price_078590_20260705_20260804.csv
008470,2026-08-04,2100.0,0.0244,0.2027,0.3359,1907.4,1787.15,1.5753,0.0462,3,price_momentum,pykrx,data/raw/price_008470_20260406_20260804.csv
179530,2026-08-04,2180.0,0.0456,0.2011,0.0557,1962.6,1960.25,1.6771,0.0498,3,price_momentum,pykrx,data/raw/price_179530_20260406_20260804.csv
