source_provider,query,status,provider_status,item_count,error_message,updated_at
deepsearch_news,007980,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-17 22:45:34
google_news_rss,007980,success,success,5,,2026-08-17 22:45:34
gdelt,007980,failed,failed,0,<urlopen error _ssl.c:999: The handshake operation timed out>,2026-08-17 22:45:40
naver_search,007980,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-17 22:45:40
deepsearch_news,0126Z0,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-17 22:45:40
google_news_rss,0126Z0,success,success,5,,2026-08-17 22:45:40
gdelt,0126Z0,failed,failed,0,<urlopen error _ssl.c:999: The handshake operation timed out>,2026-08-17 22:45:46
naver_search,0126Z0,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-17 22:45:46
deepsearch_news,053580,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-17 22:45:46
google_news_rss,053580,success,success,5,,2026-08-17 22:45:46
gdelt,053580,failed,failed,0,<urlopen error _ssl.c:999: The handshake operation timed out>,2026-08-17 22:45:53
naver_search,053580,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-17 22:45:53
deepsearch_news,017810,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-17 22:45:53
google_news_rss,017810,success,success,5,,2026-08-17 22:45:53
gdelt,017810,skipped_after_repeated_failures,skipped_after_repeated_failures,0,Provider disabled for this run after repeated failures.,2026-08-17 22:45:53
naver_search,017810,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-17 22:45:53
deepsearch_news,003520,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-17 22:45:53
google_news_rss,003520,success,success,5,,2026-08-17 22:45:53
gdelt,003520,skipped_after_repeated_failures,skipped_after_repeated_failures,0,Provider disabled for this run after repeated failures.,2026-08-17 22:45:53
naver_search,003520,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-17 22:45:53
deepsearch_news,064400,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-17 22:45:53
google_news_rss,064400,success,success,5,,2026-08-17 22:45:53
gdelt,064400,skipped_after_repeated_failures,skipped_after_repeated_failures,0,Provider disabled for this run after repeated failures.,2026-08-17 22:45:53
naver_search,064400,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-17 22:45:53
deepsearch_news,018260,skipped_missing_credentials,skipped_missing_credentials,0,,2026-08-17 22:45:53
google_news_rss,018260,success,success,5,,2026-08-17 22:45:54
gdelt,018260,skipped_after_repeated_failures,skipped_after_repeated_failures,0,Provider disabled for this run after repeated failures.,2026-08-17 22:45:54
