collected_at,source,rank,title,url,top_global_theme,top_global_theme_score,us_market_attention_score,macro_risk_score,korea_relevance_score,body_length
2026-08-09 22:53:46,Sherwood Snacks,1,"🛻 If you haven’t looked at Ford lately, look again",https://sherwood.news/snacks/newsletters/if-you-havent-looked-at-ford-lately-look-again/,ev_battery,15,2,0,23,4918
2026-08-09 22:53:47,Sherwood Snacks,2,🔓 SpaceX unlocked,https://sherwood.news/snacks/newsletters/spacex-unlocked/,ai_semiconductor,6,2,0,13,4359
2026-08-09 22:53:47,Sherwood Snacks,3,🍔 McDonald's orders a turnaround,https://sherwood.news/snacks/newsletters/mcdonalds-orders-a-turnaround/,ai_semiconductor,23,2,0,34,4596
