source_provider,query,status,provider_status,item_count,error_message,updated_at
deepsearch_news,001060,skipped_missing_credentials,skipped_missing_credentials,0,,2026-09-01 02:01:10
google_news_rss,001060,success,success,5,,2026-09-01 02:01:10
gdelt,001060,failed,failed,0,<urlopen error _ssl.c:999: The handshake operation timed out>,2026-09-01 02:01:19
naver_search,001060,skipped_missing_credentials,skipped_missing_credentials,0,,2026-09-01 02:01:19
deepsearch_news,090370,skipped_missing_credentials,skipped_missing_credentials,0,,2026-09-01 02:01:19
google_news_rss,090370,success,success,5,,2026-09-01 02:01:19
gdelt,090370,failed,failed,0,<urlopen error _ssl.c:999: The handshake operation timed out>,2026-09-01 02:01:30
naver_search,090370,skipped_missing_credentials,skipped_missing_credentials,0,,2026-09-01 02:01:30
deepsearch_news,023760,skipped_missing_credentials,skipped_missing_credentials,0,,2026-09-01 02:01:30
google_news_rss,023760,success,success,5,,2026-09-01 02:01:30
gdelt,023760,failed,failed,0,<urlopen error _ssl.c:999: The handshake operation timed out>,2026-09-01 02:01:37
naver_search,023760,skipped_missing_credentials,skipped_missing_credentials,0,,2026-09-01 02:01:37
deepsearch_news,필에너지,skipped_missing_credentials,skipped_missing_credentials,0,,2026-09-01 02:01:37
google_news_rss,필에너지,success,success,5,,2026-09-01 02:01:38
gdelt,필에너지,skipped_after_repeated_failures,skipped_after_repeated_failures,0,Provider disabled for this run after repeated failures.,2026-09-01 02:01:38
naver_search,필에너지,skipped_missing_credentials,skipped_missing_credentials,0,,2026-09-01 02:01:38
deepsearch_news,088390,skipped_missing_credentials,skipped_missing_credentials,0,,2026-09-01 02:01:38
google_news_rss,088390,success,success,5,,2026-09-01 02:01:38
gdelt,088390,skipped_after_repeated_failures,skipped_after_repeated_failures,0,Provider disabled for this run after repeated failures.,2026-09-01 02:01:38
naver_search,088390,skipped_missing_credentials,skipped_missing_credentials,0,,2026-09-01 02:01:38
deepsearch_news,003490,skipped_missing_credentials,skipped_missing_credentials,0,,2026-09-01 02:01:38
google_news_rss,003490,success,success,5,,2026-09-01 02:01:38
