rule_group,rule_value,evaluated_count,success_count,failure_count,success_rate,baseline_success_rate,lift_vs_baseline,confidence_level,recommended_action,suspicious_flag,suspicious_reason,date_coverage_count
candidate_rank,rank_101_plus,441,262,179,59.41,52.78,6.63,high,boost,False,,7
volume_confirmation_score,high,52,35,17,67.31,52.78,14.53,low,boost,True,large_lift_with_under_100_cases,6
final_price_signal_score_v2,score_lt_20,74,45,29,60.81,52.78,8.03,low,boost,False,,7
overextension_penalty,high,55,32,23,58.18,52.78,5.4,low,boost,True,boost_on_semantically_risky_bucket,7
liquidity_score,confirmed,218,131,87,60.09,52.78,7.31,medium,boost,False,,7
reversal_risk_penalty,medium,144,85,59,59.03,52.78,6.25,medium,boost,False,,7
reversal_risk_penalty,high,119,69,50,57.98,52.78,5.2,medium,boost,True,boost_on_semantically_risky_bucket,7
reversal_risk_penalty,none,375,185,190,49.33,52.78,-3.45,high,penalize,False,,7
candidate_rank,top_10,50,23,27,46.0,52.78,-6.78,low,penalize,False,,8
selected_pick,selected,52,23,29,44.23,52.78,-8.55,low,penalize,False,,8
volume_confirmation_score,none,170,80,90,47.06,52.78,-5.72,medium,penalize,False,,7
candidate_rank,rank_51_100,297,126,171,42.42,52.78,-10.36,medium,penalize,False,,7
attention_noise_penalty,none,711,384,327,54.01,52.78,1.23,high,neutral,False,,7
volume_confirmation_score,negative,427,230,197,53.86,52.78,1.08,high,neutral,False,,7
liquidity_score,basic,494,266,228,53.85,52.78,1.07,high,neutral,False,,7
news_risk_penalty,none,710,379,331,53.38,52.78,0.6,high,neutral,False,,7
selected_pick,broad_pool,1064,566,498,53.2,52.78,0.42,high,neutral,False,,14
score_version,v2_conservative_ranker,750,399,351,53.2,52.78,0.42,high,neutral,False,,7
overextension_penalty,none,672,354,318,52.68,52.78,-0.1,high,neutral,False,,7
final_price_signal_score_v2,score_30_40,361,189,172,52.35,52.78,-0.43,high,neutral,False,,7
score_version,legacy_or_unknown,366,190,176,51.91,52.78,-0.87,high,neutral,False,,7
final_price_signal_score_v2,missing,366,190,176,51.91,52.78,-0.87,high,neutral,False,,7
overextension_penalty,missing,366,190,176,51.91,52.78,-0.87,high,neutral,False,,7
reversal_risk_penalty,missing,366,190,176,51.91,52.78,-0.87,high,neutral,False,,7
news_risk_penalty,missing,366,190,176,51.91,52.78,-0.87,high,neutral,False,,7
attention_noise_penalty,missing,366,190,176,51.91,52.78,-0.87,high,neutral,False,,7
volume_confirmation_score,missing,366,190,176,51.91,52.78,-0.87,high,neutral,False,,7
liquidity_score,missing,366,190,176,51.91,52.78,-0.87,high,neutral,False,,7
candidate_rank,missing,292,159,133,54.45,52.78,1.67,medium,neutral,False,,6
final_price_signal_score_v2,score_20_30,268,144,124,53.73,52.78,0.95,medium,neutral,False,,7
reversal_risk_penalty,low,112,60,52,53.57,52.78,0.79,medium,neutral,False,,7
volume_confirmation_score,moderate,101,54,47,53.47,52.78,0.69,medium,neutral,False,,7
news_risk_penalty,high,2,2,0,100.0,52.78,47.22,insufficient,watch,True,large_lift_with_under_100_cases; only_one_or_two_signal_dates,2
news_risk_penalty,low,14,9,5,64.29,52.78,11.51,insufficient,watch,True,large_lift_with_under_100_cases,6
overextension_penalty,medium,8,5,3,62.5,52.78,9.72,insufficient,watch,False,,4
candidate_rank,rank_21_50,34,19,15,55.88,52.78,3.1,insufficient,watch,True,only_one_or_two_signal_dates,2
overextension_penalty,low,15,8,7,53.33,52.78,0.55,insufficient,watch,False,,5
attention_noise_penalty,low,4,2,2,50.0,52.78,-2.78,insufficient,watch,False,,3
final_price_signal_score_v2,score_50_plus,47,21,26,44.68,52.78,-8.1,insufficient,watch,False,,7
news_risk_penalty,medium,24,9,15,37.5,52.78,-15.28,insufficient,watch,True,large_lift_with_under_100_cases,7
attention_noise_penalty,high,35,13,22,37.14,52.78,-15.64,insufficient,watch,True,large_lift_with_under_100_cases,6
liquidity_score,none,38,2,36,5.26,52.78,-47.52,insufficient,watch,True,large_lift_with_under_100_cases,7
candidate_rank,rank_11_20,2,0,2,0.0,52.78,-52.78,insufficient,watch,True,large_lift_with_under_100_cases; only_one_or_two_signal_dates,1
