stock_code,candidate_date,candidate_pool_date,signal_date,prediction_date,candidate_action,prediction_direction,prediction_score,final_price_signal_score,price_candidate_score,price_signal_score_v1,price_score_base,supplementary_score,base_momentum_score,volume_confirmation_score,liquidity_score,volatility_penalty,overextension_penalty,reversal_risk_penalty,news_risk_penalty,attention_noise_penalty,market_regime_penalty,healthy_context_score,final_price_signal_score_v2,score_version,v3_momentum_quality_score,v3_volume_quality_score,v3_liquidity_quality_score,v3_stability_score,v3_overextension_penalty,v3_reversal_penalty,v3_noise_penalty,v3_final_score,final_price_signal_score_v3,experimental_score_version,signal_label,close,return_1d,return_5d,return_20d,ma5,ma20,volume_ratio_20d,volatility_20d,price_source,corp_name,stock_name,event_type,social_attention_label,social_risk_label,news_risk_score,news_negative_keyword_count,news_risk_keyword_count,source_file,candidate_rank,selected_pick,selection_reason,v3_rank,v3_selected_pick,v3_selection_reason
005710,2026-08-04,2026-08-04,2026-08-04,2026-08-04,BUY_CANDIDATE,positive,75.46,75.46,75.46,93.82,93.82,0,70.97,2.33,3,2.84,0.0,0.0,1.0,0.0,0,3,75.46,v2_conservative_ranker,57.0,8.0,6,13.45,0.0,0.0,1.6,82.84,82.84,v3_stability_ranker,strong_price_momentum,11540.0,0.0158,0.0665,0.0949,11108.0,10699.0,1.4661,0.0237,pykrx,,,,,,1,1,0,data/raw/price_005710_20260406_20260804.csv,1,True,Top 20 by conservative v2 price signal score,1,True,Experimental Top 20 by stability-first v3 score
340570,2026-08-04,2026-08-04,2026-08-04,2026-08-04,WATCHLIST,neutral_positive,73.26,73.26,73.26,118.19,118.19,0,79.0,3.0,3,5.78,4.68,1.27,0.0,0.0,0,0,73.26,v2_conservative_ranker,53.0,-1.89,4,2.77,13.44,9.61,0.0,34.83,34.83,v3_stability_ranker,strong_price_momentum,63500.0,0.1005,0.1101,0.2049,57100.0,54410.0,3.0762,0.0482,pykrx,,,,,,,,,data/raw/price_340570_20260406_20260804.csv,2,True,Top 20 by conservative v2 price signal score,160,False,Broad evaluation pool candidate
008930,2026-08-04,2026-08-04,2026-08-04,2026-08-04,WATCHLIST,neutral_positive,71.47,71.47,71.47,105.93,105.93,0,75.0,1.74,3,3.79,2.48,0.0,2.0,0.0,0,0,71.47,v2_conservative_ranker,46.15,8.0,6,5.26,13.6,0.0,3.2,48.61,48.61,v3_stability_ranker,strong_price_momentum,39200.0,0.0874,0.1546,0.2444,35880.0,33895.0,1.3485,0.0316,pykrx,,,,,,2,2,0,data/raw/price_008930_20260406_20260804.csv,3,True,Top 20 by conservative v2 price signal score,93,False,Broad evaluation pool candidate
297890,2026-08-04,2026-08-04,2026-08-04,2026-08-04,WATCHLIST,neutral_positive,70.27,70.27,70.27,95.47,95.47,0,70.84,3.2,3,6.65,0.13,0.0,0.0,0.0,0,0,70.27,v2_conservative_ranker,53.0,8.0,6,4.69,4.94,1.66,0.0,65.09,65.09,v3_stability_ranker,strong_price_momentum,1778.0,0.0711,0.1253,0.0527,1577.2,1631.65,1.6408,0.0554,pykrx,,,,,,,,,data/raw/price_297890_20260406_20260804.csv,4,True,Top 20 by conservative v2 price signal score,16,True,Experimental Top 20 by stability-first v3 score
024720,2026-08-04,2026-08-04,2026-08-04,2026-08-04,WATCHLIST,neutral_positive,68.79,68.79,68.79,93.33,93.33,0,71.93,0.0,3,3.13,0.0,0.0,3.0,0.0,0,0,68.79,v2_conservative_ranker,57.0,2.0,6,13.09,0.0,0.0,4.8,73.29,73.29,v3_stability_ranker,strong_price_momentum,9330.0,0.0219,0.0951,0.0836,8888.0,8618.5,1.0411,0.0261,pykrx,,,,,,3,3,0,data/raw/price_024720_20260406_20260804.csv,5,True,Top 20 by conservative v2 price signal score,4,True,Experimental Top 20 by stability-first v3 score
084870,2026-08-04,2026-08-04,2026-08-04,2026-08-04,WATCHLIST,neutral_positive,68.49,68.49,68.49,93.01,93.01,0,66.39,3.0,3,3.9,0.0,0.0,0.0,0.0,0,0,68.49,v2_conservative_ranker,57.0,-1.38,4,12.12,0.0,0.0,0.0,71.75,71.75,v3_stability_ranker,price_momentum,2015.0,0.01,0.0892,0.0397,1957.8,1936.05,2.892,0.0325,pykrx,,,,,,,,,data/raw/price_084870_20260406_20260804.csv,6,True,Top 20 by conservative v2 price signal score,6,True,Experimental Top 20 by stability-first v3 score
008470,2026-08-04,2026-08-04,2026-08-04,2026-08-04,WATCHLIST,neutral_positive,67.01,67.01,67.01,97.83,97.83,0,71.0,2.88,3,5.54,3.32,0.0,1.0,0.0,0,0,67.01,v2_conservative_ranker,35.95,8.0,6,7.07,15.33,0.19,1.6,39.9,39.9,v3_stability_ranker,price_momentum,2100.0,0.0244,0.2027,0.3359,1907.4,1787.15,1.5753,0.0462,pykrx,,,,,,1,1,0,data/raw/price_008470_20260406_20260804.csv,7,True,Top 20 by conservative v2 price signal score,135,False,Broad evaluation pool candidate
114450,2026-08-04,2026-08-04,2026-08-04,2026-08-04,WATCHLIST,neutral_positive,66.77,66.77,66.77,92.13,92.13,0,71.02,0.0,3,4.96,0.3,0.0,2.0,0.0,0,0,66.77,v2_conservative_ranker,49.95,2.0,6,3.8,7.02,0.0,3.2,51.54,51.54,v3_stability_ranker,strong_price_momentum,2330.0,0.0688,0.0402,0.25,2217.0,2017.4,1.0408,0.0413,pykrx,,,,,,2,2,0,data/raw/price_114450_20260406_20260804.csv,8,True,Top 20 by conservative v2 price signal score,67,False,Broad evaluation pool candidate
179530,2026-08-04,2026-08-04,2026-08-04,2026-08-04,WATCHLIST,neutral_positive,65.67,65.67,65.67,90.87,90.87,0,66.95,3.39,3,5.98,1.69,0.0,0.0,0.0,0,0,65.67,v2_conservative_ranker,46.12,8.0,6,2.53,7.81,0.77,0.0,54.08,54.08,v3_stability_ranker,price_momentum,2180.0,0.0456,0.2011,0.0557,1962.6,1960.25,1.6771,0.0498,pykrx,,,,,,,,,data/raw/price_179530_20260406_20260804.csv,9,True,Top 20 by conservative v2 price signal score,55,False,Broad evaluation pool candidate
018260,2026-08-04,2026-08-04,2026-08-04,2026-08-04,WATCHLIST,neutral_positive,65.41,65.41,65.41,78.53,78.53,0,65.74,1.16,3,6.13,1.36,0.0,0.0,0.0,0,3,65.41,v2_conservative_ranker,57.0,8.0,6,5.33,6.17,0.98,0.0,69.19,69.19,v3_stability_ranker,price_momentum,219500.0,0.0813,0.0948,0.1355,204900.0,200615.0,1.2313,0.0511,pykrx,,,,,,,,,data/raw/price_018260_20260406_20260804.csv,10,True,Top 20 by conservative v2 price signal score,9,True,Experimental Top 20 by stability-first v3 score
