stock_code,candidate_date,candidate_pool_date,signal_date,prediction_date,candidate_action,prediction_direction,prediction_score,final_price_signal_score,price_candidate_score,price_signal_score_v1,price_score_base,supplementary_score,base_momentum_score,volume_confirmation_score,liquidity_score,volatility_penalty,overextension_penalty,reversal_risk_penalty,news_risk_penalty,attention_noise_penalty,market_regime_penalty,healthy_context_score,final_price_signal_score_v2,score_version,signal_label,close,return_1d,return_5d,return_20d,ma5,ma20,volume_ratio_20d,volatility_20d,price_source,corp_name,stock_name,event_type,social_attention_label,social_risk_label,news_risk_score,news_negative_keyword_count,news_risk_keyword_count,source_file,candidate_rank,selected_pick,selection_reason
114450,2026-07-28,2026-07-28,2026-07-28,2026-07-28,BUY_CANDIDATE,positive,80.24,80.24,80.24,117.54,117.54,0,79.0,5.01,3,4.1,0.66,0.0,2.0,0.0,0,0,80.24,v2_conservative_ranker,strong_price_momentum,2240.0,0.0159,0.1612,0.1991,2116.0,1929.25,2.0011,0.0342,pykrx,,,,,,2,2,0,data/raw/price_114450_20260330_20260728.csv,1,True,Top 20 by conservative v2 price signal score
004780,2026-07-28,2026-07-28,2026-07-28,2026-07-28,WATCHLIST,neutral_positive,63.75,63.75,63.75,71.46,74.46,-3,60.3,1.2,3,1.75,0.0,0.0,0.0,0.0,2,3,63.75,v2_conservative_ranker,price_momentum,4125.0,-0.0179,0.0456,0.0784,4043.0,3934.0,1.2405,0.0146,unknown,대륙제관,대륙제관,disclosure_violation,,,,,,data/raw/price_004780_20260628_20260728.csv,2,True,Top 20 by conservative v2 price signal score
018470,2026-07-28,2026-07-28,2026-07-28,2026-07-28,WATCHLIST,neutral_positive,62.09,62.09,62.09,91.26,91.26,0,64.31,0.0,3,4.21,0.0,0.0,2.0,0.0,0,1,62.09,v2_conservative_ranker,price_momentum,990.0,0.0312,0.0976,-0.0198,940.6,923.75,4.2644,0.0351,pykrx,,,,,,2,2,0,data/raw/price_018470_20260330_20260728.csv,3,True,Top 20 by conservative v2 price signal score
006060,2026-07-28,2026-07-28,2026-07-28,2026-07-28,WATCHLIST,neutral_positive,60.17,60.17,60.17,74.57,74.57,0,56.44,2.82,3,2.09,0.0,0.0,0.0,0.0,0,0,60.17,v2_conservative_ranker,price_momentum,2415.0,-0.0262,0.0063,-0.034,2443.0,2438.25,1.5636,0.0174,pykrx,,,,medium_attention,no_risk_noise,,,,data/raw/price_006060_20260330_20260728.csv,4,True,Top 20 by conservative v2 price signal score
024720,2026-07-28,2026-07-28,2026-07-28,2026-07-28,WATCHLIST,neutral_positive,60.12,60.12,60.12,79.32,79.32,0,60.51,2.84,3,3.23,0.0,0.0,3.0,0.0,0,0,60.12,v2_conservative_ranker,price_momentum,8520.0,-0.0351,0.0095,0.073,8646.0,8469.0,1.5683,0.0269,pykrx,,,,,,3,3,0,data/raw/price_024720_20260330_20260728.csv,5,True,Top 20 by conservative v2 price signal score
176750,2026-07-28,2026-07-28,2026-07-28,2026-07-28,HOLD,neutral,59.39,59.39,59.39,74.86,74.86,0,61.54,4.1,3,9.95,0.0,2.29,0.0,0.0,0,3,59.39,v2_conservative_ranker,price_momentum,6080.0,-0.1671,0.0592,-0.0395,6394.0,6135.5,1.8191,0.0829,pykrx,,,,,,,,,data/raw/price_176750_20260330_20260728.csv,6,True,Top 20 by conservative v2 price signal score
236810,2026-07-28,2026-07-28,2026-07-28,2026-07-28,HOLD,neutral,59.28,59.28,59.28,79.53,79.53,0,64.41,0.86,3,6.98,0.0,0.0,2.0,0.0,0,0,59.28,v2_conservative_ranker,price_momentum,1139.0,-0.0087,0.1345,0.0973,1100.2,1052.95,1.1725,0.0582,pykrx,,,,,,2,2,0,data/raw/price_236810_20260330_20260728.csv,7,True,Top 20 by conservative v2 price signal score
340570,2026-07-28,2026-07-28,2026-07-28,2026-07-28,HOLD,neutral,57.86,57.86,57.86,71.71,71.71,0,61.82,0.0,3,4.96,0.0,0.0,2.0,0.0,0,0,57.86,v2_conservative_ranker,price_momentum,57200.0,-0.0514,0.0833,0.0233,56080.0,53665.0,1.0579,0.0413,pykrx,,,,,,2,2,0,data/raw/price_340570_20260330_20260728.csv,8,True,Top 20 by conservative v2 price signal score
008930,2026-07-28,2026-07-28,2026-07-28,2026-07-28,HOLD,neutral,57.7,57.7,57.7,71.08,71.08,0,60.69,-2.0,2,2.99,0.0,0.0,1.0,0.0,0,1,57.7,v2_conservative_ranker,price_momentum,33950.0,-0.0437,0.0288,0.1374,34330.0,32692.5,0.6374,0.0249,pykrx,,,,,,1,1,0,data/raw/price_008930_20260330_20260728.csv,9,True,Top 20 by conservative v2 price signal score
053580,2026-07-28,2026-07-28,2026-07-28,2026-07-28,HOLD,neutral,57.11,57.11,57.11,66.75,66.75,0,54.75,1.84,3,3.47,0.0,0.0,2.0,0.0,0,3,57.11,v2_conservative_ranker,price_momentum,6250.0,-0.053,0.0246,-0.0204,6468.0,6270.0,1.3671,0.0289,pykrx,,,,,,2,2,0,data/raw/price_053580_20260330_20260728.csv,10,True,Top 20 by conservative v2 price signal score
